stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.65,0,0,0,0
 14-21,0,0,1.08,0,0,0,0,0,3.13,0,26.36,0,0,0,0,1.52,0,1.99,0,0,9.04,16.73,0,0,0,0
 24-34,0,1.6,0,0,0,1.41,0,0,0,0,131.84,0,0,1.23,0.68,14.33,0,0.92,0,0,30.94,60.98,2.4,0,3.7,0
 36-46,0,0,0,0.61,0,6.34,0,0,0,0,66.14,0,0,0,0.62,4.27,0,1.79,0,0,188.81,109.09,2.48,0,0,0
 48-58,0,0,0,7.6,1.62,0,0,0,0,0,19.51,0,0,0,1.18,1.94,0.42,11.68,5.33,0,176.85,71.29,3.33,0,0.48,1.87
 60-70,0,4.13,0,2.11,0,0.63,1.11,0,0,0,36.7,0,0,0,0.6,1.53,0,26.33,4.11,0,278.08,59.91,0,0,0,0
 72-82,0,2.16,0.88,2,0,1.99,0,0,0,0.58,35.61,2.51,0,0,4.22,0,0,17.46,10.81,0,96.26,60.95,0,0.97,0.72,0
 84-94,0,7.88,0,6.71,0,1.68,2.06,0.67,0,0,70.82,0,0.82,0,0.92,1.67,0,14.24,41.39,0.68,340.48,124.96,0,1.14,0,0
 96-106,0.99,5.47,0,10.09,0,0,0,0,0,0,72.25,5.22,0,0,1.84,0,0,9.11,45.44,2.92,169.95,80.86,0,5.55,0.69,0
108-118,0.5,6.86,0,3.13,0,4.53,0,0,0,0,59.13,1.36,0.86,0,2.29,2.52,0.71,15.71,28.26,1.68,176.58,86.85,0,0,0,0
120,0,14.62,0,31.42,0,1.75,0,0,0,0,63.2,1.11,10.03,0,2.42,1.1,0,15.76,25.1,3.07,190.58,76.67,0,1.19,0,0
