stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,glial,gut,hatching.gland,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,vasculature
  3-4,0,40.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.26,211,0,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,0,0,0,0
  7-9,0,0,4.13,0,0,0,0,0,0,0,0,0,0,59.53,4.84,0,7.7,0,0,0,0
 10-12,0,15.5,0,0,0,3.74,0,0,0,0,0,0,0,38.1,0,0,9.49,0,0,3.24,0
 14-21,0,1.36,0,0,0,0,0,0,0,0,0,0,0,1.84,0,0,0,0,1.64,0.89,0
 24-34,0,0,0,0,0,1.74,0.93,0,0,0.6,0,4.93,0,2.89,0,0.6,0,0,0,0,0
 36-46,0,0,0,1.05,0,0,0,0,0,0,0,0,0.59,3.48,0,1.27,0,1.64,0,0,1.8
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0.54
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.44,0,7.34,0,0,0,4.94,0,0,0
 72-82,0,0,0,0,0,6.16,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.79,0,0,1.95,0,0,0,0,0,0,0,0,2.24,0,0,0
 96-106,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,14.31,0,0.59,0,0,8.01,0,0,3.16,0,0,0,1.23,0,0,0
