stage,epidermis,eye,fast.muscle,hatching.gland,ionocyte,muscle,neural,otic,periderm,somites,taste,vasculature
  7-9,0,0,0,3.6,0,0,0,0,0,0,0,0
 10-12,0,4.76,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.97,0,0.93,0,0
 24-34,0,0,0,0,0,0.6,3.08,0,0,0.63,0,1.44
 36-46,0,0,5.27,0,0,0,0,0,0,0,0,0
 48-58,0,0,1.58,0,0,2.93,1.63,0,0,0,0,0
 72-82,0,4.66,0,0,0,0,0,0,0,0,0.56,0
 84-94,0,0,1.69,0,0,0,0,0,0.81,0,0,0
 96-106,0,1.83,0,0,0.74,0,0,0,0.7,0,0,0
108-118,1.15,0,0,0,0,0,2.54,0,0,0,0,0
120,1.95,0,0,0,0,0,0,0,0,0,0,0
