stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,2.66,1.05,0,1.8,0,0,0,2.78,0,0,0,0,1.78,0,0,0,1.08,3.34,0,0,4.65,29.15,0.86,0,0,0.97,0,2.07,1.01,0,0,2.81,10.1,0,0,1.62,0,0
 24-34,0.8,0,1.42,0.87,0,7.5,0,0,0,2.23,1.34,0,0,2.23,0,0,0,0,0,6.59,0,0,2.83,92.93,1.4,4.47,0,0,0,17.97,0,0,0,0.85,22.52,0,0,18.83,0,0.77
 36-46,0.94,0,5.42,0,0,27.11,0,1.06,0,9.55,0,0,1.47,19.67,0,0,0,0,20.97,11.58,0.87,0,1.52,157.4,0.92,5.69,0.91,0,0,42.3,0,2.67,0,0,33.04,0,0,13.68,0,1.31
 48-58,0,0,2.8,0,0,49.34,0.89,0,1.29,24.96,0,0.76,0.58,1.7,0,2.19,0.74,1.59,1.31,10.01,0.41,4.89,2.36,161.41,0,5.65,7.51,0,0,16.12,0,0.4,0,0,39.19,0,0.44,9.13,0,1.01
 60-70,0,0,3.28,0,0,117.44,0,0.68,0,59.91,2.05,0,0.69,11.33,0,2.8,1.66,0,1.24,44.71,0.73,1.96,3.07,135.26,0,2.6,1.03,0,3.33,25.91,0,0.62,0,0,21.03,0,0,22.89,0,6.79
 72-82,0.98,0,10.33,2.74,0,87.02,0,0.53,0,56.3,4.86,0,2.19,6.3,0.55,5.35,0.61,4.34,0,69.11,0.79,1.94,0.6,155.27,0,7.29,1.57,0,0,36.08,0,0,0,0,11.11,0,0,33.83,0.59,3.17
 84-94,0,0,14.86,1.49,0,66.8,0.69,0,3.75,43.27,2.67,0,0,14.85,0,0.87,1.32,0,2.24,43.54,5.05,1.92,7.45,56.11,0,2.21,1.18,0,0.77,68.83,0,0.7,0.73,0,12.64,2.42,1.17,16.45,0,0
 96-106,0.89,0,11.78,2.97,1.52,46.36,0,9.57,0,26.63,4.16,0,0,6.07,1.85,2.74,0.75,1.58,0,47.47,3.62,0.66,2.84,111.29,1.23,2.14,4.13,0,1.36,70.56,0,0,0,0,6.17,1.88,1.23,34.51,3.91,0
108-118,0.91,0.74,12.8,3.56,0,46.01,0,0,0,24,12.37,0,0,8.73,2.88,2.46,1.05,1.26,3.07,39.92,8.94,0.71,1.54,88.02,0,6.77,0,0,0.87,61.01,0,0.81,0,0,7.73,1.64,0,11.57,0.95,10.46
120,0,0,24.1,0,0,84.32,0,4.92,0,52.78,6.79,0,0,11.89,8.11,1.74,0,0,0,22.45,0,0,2.53,153.38,1.25,25.15,0,0,0,93.62,0,0,0,0,1.95,1.94,0,28.07,0,0
