stage,axial,blastomeres,epidermis,hatching.gland,mesenchyme,neural,periderm,presomitic.mesoderm,spinal.cord
  3-4,56.86,573.31,0,0,0,0,0,0,0
  5-6,45.7,240.16,0,0,0,0,8.01,0,0
  7-9,13.05,9.19,0,4.55,0,70.91,0,0,0
 10-12,0,0,0,0,0,9.53,0,0,0
 14-21,0,0,0.96,0,0,0.96,0,2.3,1.12
 24-34,0,0,0,0,0,0.72,1.28,0,0
 60-70,0,0,0,0,0.59,0,1.12,0,0
 72-82,0,0,0,0,2.64,0,0,0,0
