stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,53.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.21,130.08,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.19,0,0,0,0,0,12.12,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,19.47,0,0,12.44,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,46.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,24.04,263,0,0,0,0,0,44.1,0.91,10.84,3.76,0,109.58,0,29.41,0,0,21.28,32.7,6.07,0,0,0,0,3.29,0,2.29,0,0,2.79,12.96,0,0,0,0
 24-34,0.88,0,0,0,13.9,2.61,0,5.87,0,0,3.07,0,27.62,0,0,274.66,0,39.47,0,0,12.11,67.36,0,0,0,0,0,3.25,0,0.71,0,0,1.01,32.77,0,0,0,0
 36-46,0,0,0,0,10.12,0,0,6.14,0,1.88,0,0,23.81,0,0,76.01,9.57,51.25,0,0,3.13,59.01,0,5.14,0,0,4.12,1.51,0,0,0,0,0,42.74,0,0,0,0
 48-58,0,0,0,0,5.57,0,0,5.21,0.65,0,3.43,0,34.43,0,0,23,0,72.06,0,3.33,3.54,64.15,0,0,0,0,1.69,8.13,0,0,0,0,0,48.95,0.85,0,0,3.77
 60-70,0,0,0,0,6.16,0,0,24.63,0,6.22,2.49,0,20.98,0,0,0.93,13.48,53.81,0,3.07,4.03,44.98,0,0,0,0,0,1.32,0,0,0,0,0,30.93,0,0,0,0
 72-82,0,0,1.95,0,0.52,0,1.14,65.97,0,4.33,7.36,0,11.35,0,0,6.98,0.65,79.13,0.92,26.45,2.84,23.15,0,0,0,0,0,1.27,0,0,0,1.5,0,10.57,0.52,0,0.71,0
 84-94,0,0,0.98,0,4.14,0.64,4.22,22.43,3.34,19.97,4.35,0,8.17,0,0,11.16,0,29.96,0,11.68,0,7.95,0,0,2.03,0,0,0,0,0,2.26,0,0,4.37,1.32,0,0,0
 96-106,0,0,4.62,0,0,0,4.2,95.42,0.64,2.15,32.84,0,7.73,0,0.57,19.22,1.84,24.09,0,11.97,7.58,36.69,0,0.84,1.79,0,3.14,0,0,0,0,0,0,6.37,0,0,0,0
108-118,0,0,0.77,0,0.62,1.23,19.59,71.66,0,5.79,47.33,0,5.33,1.68,0.44,5.89,1.79,34.66,0,33.52,5.97,27.74,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0.9,0,0
120,0,0,13.84,0,1.69,0,14.99,66.23,0,12.19,201.96,0,0,1.72,0,0,0,23.45,0,35.19,0,22.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
