stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,76.68,1179.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
  5-6,37.88,782.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.61,0,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0
  7-9,0,33.35,0,12.22,0,0,0,35.71,0,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0,498.71,5.33,0,0,140.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.46,0,30.31,0,0,0,79.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957.13,10.2,0,0,166.15,0,0,0,67.42,0,0,4.33,0,0,0,0,0
 14-21,0,0,0,10,78.48,12.92,0,53.66,0,2.07,0,25.09,1.46,0,0,0,3.86,0,0.92,0,0,26.03,0,0,21.36,940.37,12.53,3.35,7.56,5.29,0,7.04,25.99,7.45,0.91,22.94,306.43,0,0,8.6,0,7.81
 24-34,0,0.83,1.41,4.1,13.61,6.56,0,147.54,0,3.2,0.61,51.57,3.19,0,1.17,0,2.78,10.79,2.19,0.69,1.81,74.9,2.05,2.43,32.16,2147.46,0,35.4,14.61,0,0,24.44,0,8.89,0,4.58,433.8,0,0,23.01,0,0.69
 36-46,0,0,0,0,42.3,3.13,0,496.05,0,1.92,2.32,80.64,0.57,0,0.99,0.67,1.02,0,0.65,0,2.61,146.38,0,1.37,35.01,3754.08,9.19,30.4,7.94,0,0,57.95,1.95,6.3,0,0,930.96,0,0,17.72,0,10.72
 48-58,0,0,0.54,0,28.22,1.88,0,904.4,0.38,6.05,4.6,183.32,3.96,0.44,4.03,4.43,2.12,5.39,3.17,2.01,2.87,184.36,2.58,2.72,37.42,3683.54,6.12,17.29,11.92,0,0,23.02,0,8.12,0.85,0,886.11,0,1.43,19.82,0.5,23.81
 60-70,0,0,0,0,20.81,1.95,0,1110.82,0,0.8,2.16,202.43,6.44,0.63,4.42,0.79,2.6,2.39,4.05,5.79,7.32,163.47,11.45,6.15,9.87,3048.4,0,12.81,10.05,0,0.97,34.09,0,5.53,0,0,468.57,0,4.13,4.9,1.92,17.31
 72-82,0,0,5.59,0,39.8,12.31,0,907.54,1.86,5.41,11.19,193.76,8.24,0,4.17,1.16,10.05,4.48,13.9,9.58,8.9,257.6,5.86,7.08,20.05,2085.31,1.96,17.25,23.61,0,2.63,17.99,0,9.28,0,0,277.93,5.31,5.6,29.64,10.48,17.65
 84-94,0,0,10.08,1.01,59.21,21.4,0,607.44,0.71,9.95,3.17,143.01,9.94,1.5,2.1,10.3,5.47,10.58,8.73,22.46,1.19,202.53,4.5,11.28,24.36,1537.67,0.57,16.15,28.79,0,0,35.2,0,17.44,0,0,159.41,11.07,7.85,13.33,7.8,6.16
 96-106,0,0,5.71,0,46.88,59.75,8.04,699.86,1.53,11.44,13.87,137.15,17.16,0,7.88,8.7,7.7,4.4,24.92,93.53,2.25,235.6,3.29,13.72,24.67,1184.29,0.62,44.23,40.43,0,6.22,54.24,0,24.47,0,0,121.21,9.13,11.02,32.88,5.17,18.14
108-118,0,0,7.2,0.98,68.82,22.18,2.92,654.86,0,7.55,6.75,167.89,16.04,0,1.56,18.67,8.75,19.97,18.06,137.52,1,282.01,0.71,2.54,26.81,1938.93,3.99,25.48,33.26,0,9.21,38.74,0,37.93,0.48,0,53.75,10.15,6.21,19.07,10.93,18.46
120,1.19,0,1.22,0,48.01,36,1.71,470.08,0,10.89,3.44,140.96,17.85,0,0,22.64,6.02,0,22.44,103.53,0,211.4,1.12,2.08,23.35,1461.44,4.62,15.62,20.27,0,2.03,41.33,0,25.47,1.63,0,44.71,9.74,1.32,10.29,14.91,18.21
