stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.3,0,0,0,0,14.38,0,0,0,0,0,0,0,0,0,26.05,0,0,0,20.39,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.48,0,0,20.61,0,0,0,0,0,0,0,0,0,32.33,0,0,0,27.61,0,0,5.85,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,10,1.11,0,0,0,61.82,0,0,0,1.01,0,61.87,0,0,2.9,0,0,0,0,0,10.98,1.93,1.12,0,0,0,0
 24-34,0,0,0,0,2.91,1.75,0,0,0,151.86,0,0,0,0,0.85,78.64,0,1.04,3.33,0,0,0.73,0,0,0.63,0,0.65,0,0.79,0,0
 36-46,0,0,0,0,0,1.42,0,0.9,0,136.43,0,0,0,0.73,1.88,69.64,0.56,0,0.8,0,0,0,0,1.63,0,0,5.36,0,1.64,0,0
 48-58,0,0,0,2.4,0,0.69,0,0,0,53.14,0,0,0,9.92,0.85,52.92,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,1.16,0,2.76,9.34,0,0,62.19,0,0,0,1.29,0,79.93,0,0,0,0,1.22,0,0,0,0,0,0,0.84,9.88,0,0
 72-82,0,0,0,1.72,0,1.73,0,0,0,60.41,0,0,0,1.83,0.56,55.54,0,0,0,0,0,0,0,0,0,0,5.04,3.58,6.57,0,0
 84-94,0,0,0,3.13,0,8.93,0,6.68,0,65.19,0,0,0,6.47,0,33.01,0,0,0,0,0,0,0,0,0,0,0,14.68,5.2,0,6.56
 96-106,0,0,0,20.62,0.96,0.76,0,0,0,84.95,0.87,0,0,5.45,0,48.77,0,0,1.5,0,0,0,0,0,0,0,0,1.44,13.32,0.91,0
108-118,0,0,0,8.73,0,5.5,0,0,0.84,69.53,0.41,0,8.25,11.79,0,32.67,0,0,0,0,0,0,0,0,0,0,0,9.87,7.24,0,0
120,0,0,0,9.84,0,4.92,0,0,0,120.46,0,3.74,0,0,8.48,28.26,0,1.31,0,0,0,0,0,0,0,0,0,3.18,7.6,0,0
