stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.87,0,0.99,0,0,0,0,0,1.34,0,0,2.2,0,0,0,16.49,0,0,0.95,0,0,4.59,0,2.35,22.77,10.54,0,0,0,0
 24-34,0,4.33,0,13.19,0,0,0,0,0,1.06,0,0,2.77,0,0,0,312.28,0,0,0.73,0,0.71,0,0,0,2.91,10.81,0,0,0,0.77
 36-46,0,8.92,0,15.96,0,0,0,0,0,0,0,0,3.08,0,0,0,488.66,0,0,0,0,8.47,0,0,0,0,13.67,0,0,0,0
 48-58,0,4.79,0,67.4,1.27,0.8,3.06,0.87,0,0,0,0,1.9,0,0,12.75,472.31,0,0,0,0,0,0,0,0,0,3.54,0,0,0,0
 60-70,0,4.54,0,538.52,0,0,0,1.88,0,0,0,0,8.83,0,0,0,260.08,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
 72-82,0,0,4.72,657.28,0,0,2.09,2.26,0,0,0,0,7.08,3.05,0,0,297.21,0,0,1.39,2.01,0,0,0,0,0,3.22,0.85,0,4.49,0
 84-94,1.16,0,0.95,561.59,0,0,0,0,0,0,1.21,0,16.21,1.21,0.76,0.6,174.6,0,0,0,2.56,2.22,0,0.64,0,0,4.18,0,0,0,0
 96-106,0,1.22,0,452.65,0,0,0,0,0.57,0,1.14,0,3.6,0,0,0,189.37,0,0,0,0,0.72,0,0,0,0,2.56,0,0,0,0
108-118,0,2.61,1.37,372.41,0.44,0,0,2.22,1.21,1.02,0.96,0,2.07,0,0,1.67,160.23,0,1.47,0,0.76,2.6,0,0,0,0,0,0,5.24,0,0
120,0,6.72,0,585.41,0,0,0,5.15,0,0,0,8.05,11.12,0,0,0,221.65,2.85,0,0,0,10.92,0,0,0,0,0,0,2.42,0,0
