stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,415.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.59,73.1,0,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,26.3,0,0,0,3.71,0,8.64,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.37,0,0,0,141.96,0,0,0,7.59,0,63.97,0,0,0,0,0
 14-21,0,0,2.33,0,4.35,0,0,0.96,0,0.88,0,0.89,0.97,0,0,1.75,0,0,0,1.26,0,0,0,6.06,19.38,4.26,0,0,0,0,0,21.3,0,301.65,678.99,23.59,0,0,0,0
 24-34,0,0,2.1,1.54,0,0,0,0.78,0,3.53,0,0,0,0,9.4,0.77,0,0,4.31,0,0.79,0,0,13.3,61.28,0,33.41,15.09,0,9.41,0,3.11,3.08,54.54,209.19,27.19,0,0,0,0
 36-46,0,0,2.35,0,0,0,0,1.43,1.24,0,0,5.44,0,0,1.86,0,0,0,0,0.85,4.43,0,0,1.56,198.74,0,67.35,28.24,0,33.21,0,0,8.64,2.72,0.58,63.48,0,0.85,0,10.93
 48-58,0,0,0,0,2.99,0,0,2.78,3.88,0.49,0,7.99,0.49,0,12.68,0,0,6.64,0,0,4.36,0.84,0,8.98,155.77,0,66.93,23.94,0,5.94,0,0,3.34,2.51,0.55,70.36,0,0,1.88,0.89
 60-70,0,0,0,0,0,0,0,26.54,5.72,2.44,0.88,40.46,0,0,24.82,0.59,0,6.35,0,0,4.62,3.35,0,5.62,312.29,0,70.94,30.05,0,8.22,0,0,0,0,0,75.12,0,0,0.71,4.4
 72-82,0,0,3.1,0,8.44,6.28,0,62.86,2.2,0,0,43.04,9.87,0,14.75,1.02,2.35,31.04,0,0,11.84,1.51,1.04,4.07,253.52,0,150.64,88.07,0,13.13,0,0,0.76,0,0,63.94,18.17,2,0.6,6.25
 84-94,0,0,4.97,0,6.93,0,0,21.34,1.78,0.62,0,24.72,11.5,0.71,37.86,0.71,1.06,34.83,2,0,1.97,0,0,8.53,141.15,0,113.46,104.65,0,32.9,0,0,0.73,0,0,36.61,33.4,0,2.84,0
 96-106,0,0,6,0,42.07,0,0,56.32,0.89,0.58,3.19,35.07,12.74,0,54.01,9.64,0,76.75,2.44,0,14.69,1.47,9.19,5.57,244.28,0,295.85,175.17,0,18.73,0,0,0.97,0,0,15.99,88.41,3.23,0,0
108-118,0,0,0.57,0,20.14,16.27,0.58,37.05,4.42,4.91,4.77,52.19,8.46,0,29.37,3.88,0,45.11,2.55,0,11.39,0,0,6.95,316.12,0,188.93,121.98,0,27.4,0,0,1.04,0,0,21.63,96.29,1.52,7.89,0
120,0,0,3.73,0,44.45,0,0,43.82,0,4.06,0,42.19,10.51,0,64.66,8.16,1.87,41.7,0,0,0,0,0,26.74,332.65,0,146.97,187.81,0,24.99,2.5,0,5.02,0,0,5.78,50.28,7.67,6.14,0
