stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0.73,2.22,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,32.09,0,0,0,0,0,0,0,0,0,0,6.2
 48-58,0,0,0,1.44,0,0,0,0.63,0,5.29,0,0.47,0,1.58,0,0,35.58,0,0,0,3.74,0.43,1.06,0,0,0,0,0
 60-70,3.93,0,0,2.16,0,0,0,0,0,0.58,0,0,0,1.01,0,0,4.38,0,0,0,0,0,2.18,0,0,0,0,0
 72-82,1.16,1.07,0,2.38,0.76,0,0,0,4.1,0.51,0,3.54,0,6.31,0.77,0,8.62,1.48,0,2.23,0.57,0,1.01,0,0,0,1.49,0
 84-94,0,0,0,0,0,0,0,0.63,1.66,2.1,8.94,2.19,0,4.22,0,0,13.86,0,0,0,2.32,0,0,0,0,0,7.11,0
 96-106,1.39,0,0,14.22,0.73,1.04,0,0,15.48,4.16,0,0,0,6.28,1.84,1.84,11.36,0,0,1.37,0.89,0,3.17,0.78,0.89,0,23.55,0
108-118,3.33,2.21,0.7,0.89,0,0,0.84,0.98,16.58,3.72,0,0,0.46,17.82,1.08,0,12.96,1.62,0.43,0,3.3,0,0,1.26,0,1.1,7.91,0
120,2.75,13.77,0,0,0,0,0,0,10.32,5.22,0,0,0,2.73,0,0,25.99,0,1.73,0,3.23,0,0,0,0,2.64,1.93,0
