stage,axial,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,0,0,4.58,0,0,0,43.13,0,0,0,0,0,0,4.22,0,0,0.84,17.61,0,7.71,3.65,0.84,0,1.31,4.01,83.81,1.04,74.85,0,0
 24-34,0,0.96,0,9.94,8.66,0,0,39.55,0.64,0,0,0,0.78,0.69,3.04,0,0,1.73,88,1.49,63.97,3.78,0,0,0,0,76.11,1.27,94.77,0,0
 36-46,0,0,0,0,39.2,0,1.14,32.14,0,0.65,0,0,0,0,4.12,0,0,0,117.27,0,65.54,9.6,0,0,0.79,0,25.08,0,53.91,0,0
 48-58,0,0,0,0,80.71,0,0,23.64,0,0,0,0,1.93,0,5.39,0,0,1.18,78.56,0,30.99,1.88,0,0,0,0,6.49,0,45.66,0,0
 60-70,0,0,0,0,166.1,0,0,12.44,0.62,0,0,0,0,0,2.07,0,0,0.93,91.33,0,36.88,1.94,0,0,0.82,0,10.93,0,28.45,1.02,0
 72-82,0,4.97,0,0,144.92,0,0,11.45,5.97,0,0,0.53,4.21,0,6.74,0,0,0,91.45,0,53.45,5.04,0,0,0,0,2.89,0,17.9,0,1.62
 84-94,0,4.59,0,0.61,126.54,9.46,0,13.75,4.94,0,2.18,0,0,2.64,1.92,1.22,0,0.8,23.55,0,43.48,8.14,0,0,0,0,4.89,0,15,0,0
 96-106,0,7.87,0,4.91,87.83,0,0,18.76,13.56,0,0,0,2.83,0,4.7,0,0.87,0.58,54.22,0,68.38,10.17,0,0,0,0,3.26,0,9.51,1.23,0
108-118,3.02,12.22,0.42,3.44,80.92,2.14,0,3.38,2.35,0,0,0,0.42,0,3.37,0,0,0.52,41.91,0.41,33.1,10.62,0,1.91,0,0,2.74,0,0,2.31,0
120,0,1.37,0,3.3,69.33,0,0,0,10.71,0,0,0,2.6,0,4.09,0,9.18,0,126.08,0,65.95,15.92,0,0,0,0,3.93,0,1.17,0,0
