stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,ionocyte,iridophores,melanocytes,mesenchyme,neural,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,somites,spinal.cord
  3-4,61.49,635.68,0,0,0,0,0,0,0,0,0,0,0,0,26.9,0,0,0
  5-6,54.09,221.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.54,0,0,0,0,0,0,0,25.55,0,3.47,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.92,0,5.1,0,0,6.03,5.88,0
 14-21,0,0,0,1.23,1.12,0,0,0,0,0,3.21,0,0,0,0,0,1.7,0
 36-46,0,0,0,0,1.15,0,0,0,0,0,9.56,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.24,0,0,7.98,0,0,0,0,0,0,0.4
 60-70,0,0,0,0,1.86,0,0,0,0,1.12,17.53,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.12,0,0,0,0,0.73,12.71,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,8.28,0,0,0,0,14.88,0,0,1.65,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,7.23,2.88,1.31,0,0,0,0,0,0
108-118,0,0,0,0,3.85,0,0,0.68,1.43,1.01,18.5,0,0,0,0,0,0,2.82
120,0,0,0,0,18.53,0,1.36,0,0,1.41,18.67,16.46,0,0,0,0,0,0
