stage,blastomeres,eye,glial,melanocytes,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,22.8,0,0,0,0,0,0,0,0,0,0
  5-6,8.64,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.35,0,0,7.44,0,0
 24-34,0,0,0,0,0,3.14,0,0,0,1.19,0.65
 36-46,0,0,1.3,0,0,4.41,0,0,0,0,0.94
 48-58,0,0,0,0,0,0.64,0.62,0.84,0,0,1.27
 60-70,0,4.38,0,0,0,0.92,0,0,0,0,0
 72-82,0,1.6,0,0,0,7.57,0,0,0,0,0
 84-94,0,2.25,0,0,0,14.23,0,0,0,0,0
 96-106,0,0,0.82,0,1.65,4.42,0,0,0,0,0
108-118,0,3.3,0,0.53,0,1.28,0,0,0,3.19,0
