stage,epidermis,eye,fast_muscle,fin_epithelia,glial,ionocyte,mesenchyme,mucous,neural,olfactory,periderm,taste
 14-21,0,0,0,0,0,0,0,0,0,0,0.98,0
 24-34,0,0,0,0,0,0,0,0,1.03,0,18.85,0
 36-46,0,0.7,0,0,0,0,0,0,0,0,46.48,0
 48-58,0,0,0,0,0,0,0,0,0,0.93,21.93,0
 60-70,0.7,0,0,2.17,0,0,0,0,0,0,35.79,0
 72-82,1.03,0,0,0,0,0,0,0,0,0,23.68,0
 84-94,12.76,0,0,3.54,0,0,0,0.75,0,0,65.28,0
 96-106,12.48,0,0,0.66,0,2.68,1.77,0,0,0,150.38,1.23
108-118,17.34,0,1.39,3.11,1.21,1.92,0,2.1,0,0,137.91,1.4
120,9.09,0,0,1.45,0,0,0,0,0,0,119.65,0
