stage,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,lateral_line,liver,mesenchyme,muscle,neural,notochord,pericytes,periderm,pronephros,taste,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.62,0,0,0.8,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.39,0,0,0,4.39,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,9.14,0,0,2.35,0,0,0,0,0,0
 72-82,0,0,4.6,0,0.49,0,0,56.33,0,0,3.39,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,224.61,1.52,0,18.08,0,0,0,0,0,0
 96-106,0,0,14.92,1,0.72,1.61,1.3,388.53,10.04,2.07,43.27,0,0,1.44,0,0,5.86
108-118,0.97,4.38,8.28,0,0,0,0,739.32,2.85,0,55.08,0,0.76,3.92,0.44,0.89,0.87
120,0,0,0,0,0,0,0,386.48,0,0,26.95,0,0,0,0,0,0
