stage,erythrocytes,eye,liver,mesenchyme,neural
 24-34,0,0,0,0,9.82
 36-46,0,0,0,0,2.16
 72-82,2.83,4.46,4.32,0,5.16
 84-94,0,2.43,9.46,0,0
 96-106,0,0,6.45,0.7,4.66
108-118,0,0,24.57,0,8.35
120,0,0,26,0,1.19
