stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.03,0.96,0,1.14,0,0,0,0,0,0,0,0,0,0,0,1.89,0,2.78,14.62,0,0,0,1.12,0,0,3.99,7.81,0,0,0
 24-34,0,0,7.26,0,0,3.57,0,0,0,0,0,1.94,0,0,0,0,0,7.05,0,0,59,1.43,0,0.61,0,4.28,0,0,10.82,0,0,2.08
 36-46,0,0,2.83,0,0,13.2,0,0,3.44,0,0,0,0,0,0,0,0,5.65,0,0.68,81.4,0,1.39,2.09,0,9.1,0,0,9.79,0,0,1.98
 48-58,0,0,2.15,0,0,38.18,0,1.35,5.72,0,0,0,0,2.29,0,0,4.43,7.25,0,0.78,97.29,0,0,0.86,0,0,0,0,37.58,0,0,2.6
 60-70,0,0,5.73,0,0,70.03,0,0,3.68,0,0,0,1.89,0,0,0,0,9.61,0.85,7.8,151.58,0,1.12,0.78,0,3.67,1.46,0,8.07,0,0,0
 72-82,0,0,0,0,0,65.52,0,0,6.01,0,0,0,0.66,0,0,0,0,8.75,0,0.98,102.45,9.68,1.2,0,0,0.73,0,0,6.92,0,0,7.24
 84-94,0.98,0,0,3.04,1.17,57.61,0,1.71,1.41,0,0.6,0,0.65,0.69,0,2.85,0,7.32,0,1.82,88.66,1.84,1.04,0.83,0,3.44,0,0,11.95,0,1.23,2.29
 96-106,0,0,3.77,21.52,0,66.57,0,0,9.37,1.06,0,0.78,1.59,0.8,0,0.77,0,4.52,0,0.61,67.22,0,0,0.74,0,14.39,0,0,6.08,0.59,0,0
108-118,0,0,0.72,1.46,0.44,69.45,0,0.46,7.21,0,0,0,0.9,0,1.95,0,0,13.11,0,0,72.12,0,0,3.01,0,0.95,0.43,0,2.21,0,0,2.56
120,0,0,0,16.03,0,36.61,2.44,0,14,0,0,0,7.61,0,0,0,0,6.47,0,1.01,134.26,0,0,0,0,0,1.21,0,0,0,0,20.19
