stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,mural_cell,neural,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.64,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0
 24-34,0,0.87,0.62,0,0,0,0,0,0.67,0,0,3.83,0,0,0,0.6,0,0,28.03,0
 36-46,0,0,1.58,0,0,0,0,0,0,0,0,11.18,0,0,0,0,0.96,0,48.8,0
 48-58,0,0,1.15,1.17,0.41,11.25,0,0,0,1.04,0,10.41,0,0,0.5,0,2.36,0,67.56,0
 60-70,0,0,0.7,5.11,0,23.92,0,0.66,7.91,13.74,0,4.37,0,0,0,0,6.16,0.65,106.61,0
 72-82,0,0,19.69,2.96,0,55.39,0,0,0.78,4.99,1.61,16.96,0,0,1.65,0,1.45,0,168.78,1.2
 84-94,0,0,15.51,5.88,0,31.68,2.25,0,2.39,11.43,0,13.32,0,0,0,0,2.26,1.22,167.28,3.57
 96-106,0,1.36,17.43,4.08,0,45.6,0,2.09,3.23,25.4,1.33,9.57,0.58,0,0,0,1.3,0,285.56,5.4
108-118,0,0.83,11.84,5,0.53,49.38,0,0,2.84,34.72,0,13.38,0,0,0,0.56,0,0,218.68,6.77
120,0,0,21.95,9.38,4.21,49.55,0,0,8.76,10.75,0,13.57,0,7.26,0,0,5,0,187.39,4.47
