stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,lateral.line,liver,melanocytes,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,pronephros,somites,spinal.cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.62,0,0,3.81,0,0,0,0,0
 10-12,0,4.47,0,0,0,0,0,0,0,0,0,0,52.01,0,0,3.34,0,0,0,0,0
 14-21,0,0,0.81,0.92,0,0,201.75,0,0,0,0,0,91.72,0,2.44,0.87,15.2,1.1,323.21,0,0
 24-34,0,0,0,0,2.42,0,157.12,0,0,0,0,0,54.31,15.1,3.57,0,48.58,0,251.15,0,0
 36-46,0,0,0,0,0.97,0,36.26,0,0,0,0,1.56,44.43,25.65,1.5,0,53.22,0.7,158.56,0,0
 48-58,0,0,6.79,0,3.49,0,22.59,0,0.62,0,0,0,19.18,9.18,0,0,16.78,0,89.92,0,0.47
 60-70,0.62,0,0,0,1.19,0,52.4,0,0.65,0,0,0,36.4,14.68,0.63,0,28.35,0,71.67,0,0
 72-82,5.73,0,1.32,0,1.61,0,75.33,0.97,3.44,0,0,0.51,16.71,22.41,0,0,5.31,0,28.89,0,0
 84-94,1.18,0,0,0,0,0,73.7,0,7.63,0,0,0,4.66,36.39,0.64,0,11.36,0,39.52,0,0
 96-106,0,0,0,0.88,1.19,0,79.38,0,1.26,0,0.58,0,11.57,32.26,2.06,0,4.2,0,28.23,0,0
108-118,0.91,0.42,3.53,0,0,0.46,81.09,0,4.29,0,0,0,13.09,27.73,0.54,0,11.01,0,19.17,1.55,0
120,8.41,3.17,0,0,4.27,0,61.11,0,0,3.87,0,0,27.07,7.85,14.75,0,11.23,0,16.16,2.24,0
