stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,liver,mesenchyme,mucous,mural_cell,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,10.05,0,0,0,0,0,0,0,0,0,0,2.49,0,1.77,0,0,0,0,0
 24-34,0,0,0.81,0,0,0,0,0,0,0,0,3.36,0,0,2.22,0,0,0,0
 36-46,0,0,4.57,0,0,0,0,0,0,0,0,3.94,1.24,0,5.84,0,0,0,0
 48-58,0,2.7,1.08,0,0.86,0,0,0,0.49,0,0,4.15,0,0,0,1.05,0,0.56,0
 60-70,0.69,0,0,0,0,0,0,0,0.87,0,0,0,0,0,11.07,0,0,0,0
 72-82,0,0,0,0,0,0,0,6.63,0,4.17,0,3.59,0,0,1.98,0,1.33,0,0
 84-94,0,0,0,0.7,0,0,0,0,0.93,0,1.84,0.77,0,0,0,0,0,0,0
 96-106,0.57,0,0,0,0,0,0.67,0,1.22,0,0,0,0,0,5.01,0,0,0,1.43
108-118,0,0,0,0,0,0,0.56,0,5.72,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,2.37,0,0,0,0,8.33,4.46,0,0,3.32,0,0,0,0
