stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,iridophores,liver,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord
  3-4,67.95,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,111.43,0,0,0,0,0,0,0,0,0,0,13.26,0,0
  7-9,0,0,0,6.09,0,0,0,0,37.63,5.4,0,3.27,0,0
 10-12,0,0,0,8.15,0,0,0,0,5.81,0,0,0,7.35,0
 14-21,0,0,0,2.63,0,0,0,0.93,6.96,0,0,0,0,3.34
 24-34,0,0,0,1.48,0,0,1.45,0,14.5,0,0,0,0,3.4
 36-46,0,3.02,0,4.57,0,0,0,0,13.24,0,0,0,0,12.06
 48-58,0,0.71,0,0,1,0,0,0,2.77,0,0,0,0,1.01
 60-70,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.58,0,0,0,0,0,1.37,0,0,0
 84-94,0,0,4.52,8.71,0.84,8.28,0,0,5.87,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.47,0,0,0,0,0
108-118,0,0,0,6.19,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,11.89,0,0,0,15.17,0,0,0,0,0
