stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,697.79,1540.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.82,0,0,0,0,0,0,0,0
  5-6,1894.56,1494.94,0,38.73,0,0,0,0,0,0,139.45,0,0,0,0,0,0,0,0,123.02,175.65,0,0,24.61,0,0,0,0,0,0,0,0,0
  7-9,992.74,39.76,0,63.7,0,0,0,0,0,0,123.85,0,0,0,0,0,0,0,0,283.61,1165.41,0,0,798.96,28.72,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.15,95.34,0,0,117.67,0,0,0,13.15,0,0,0,0,0
 14-21,0,0,1.62,2.69,4.08,2.46,0,0,5.45,0.81,0,0,6.04,0,0,1.84,4.79,0,0,78.57,0.87,0,0,2.41,0,0,3.45,1.93,0,2.28,112.58,0,1.41
 24-34,0,0,0.66,0,24.27,1.8,2.35,0,2.87,5.08,0,1.2,14.87,1.96,0,2.99,12.19,0,0,538.91,0,5.24,0.95,0,15.98,0,0,0,0,0.6,74.62,0,0
 36-46,0,0,0,0,3.41,4.79,0,1.68,51.72,0.57,0,7.06,3.49,0.71,0,5.62,4.41,1.26,2.21,843.9,0,16.51,1.22,0,19.3,0,0,0.88,0,0,141.76,0,0.6
 48-58,0,0,0.92,0,6.41,7,0,0.44,76.89,0,2.83,0.98,13.25,0.45,0,3.52,1.65,0,0.95,530.74,0,1.66,3.5,0,1.2,0,0,0,0,0,58.19,0,0
 60-70,0,0,0,0,51.1,11.24,0,1.38,25.73,2.51,4.3,4.82,0,0,0,3.92,0.84,0,0,300.73,0,1.5,0.8,0,0,0,0,0,0,0,77.65,3.02,0
 72-82,0,0,2.07,0,72.72,28.78,0,0.59,10.6,25.59,0.59,3.89,0,0,11.12,7.65,0,0,0.66,194.06,0,0,1.69,0,0,6.61,0,0,0,0,43.2,8.95,0
 84-94,0,0,6.67,0,107.54,30.35,0,0,12.08,22.18,0,7.67,0.99,0,0,23.75,0.58,0,1.77,224.43,0,0,5.15,0,4.07,0,0,0,0,0,49.18,5.6,0
 96-106,0,0,8.1,0,53.75,13.26,1.82,0,9.8,24.45,0,4.16,0,0,0,18.02,0,0,1.08,115.67,0,0,14.2,0,6.81,31.19,0,0,0,0,38.29,12.83,0
108-118,0,0,0.6,0,8.29,37.98,2.38,0,9.27,29.7,2.74,2.78,0.5,0,0,25.92,1.82,0,0,293.16,0,2.28,4.78,0,2.19,0,0,5.26,0.47,0,3.89,20.44,0
120,0,0,0,0,68.06,3.75,3.18,0,0,26.34,0,4.34,0,0,0,1.05,0,0,0,200.6,0,12.48,16.29,0,0,0,0,0,0,0,5.6,7.48,2.71
