stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,14.41,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,3.98,0,0,0.98,0,0,1.87,0,0,0,0,0,2.53,0,0
 24-34,0,0,0,45.14,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19,0,0.77,1.24,0,0,8.52,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,33.51,0,0,1.91,0,0,0,0,0,0,0,0,0,0,35.29,0,7.82,0,0,1.31,11.87,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.5,0.48,0,2.91,0,0,0.42,3.92,0,0,0,0,0,0,192.08,0,2.42,0,0,0,31.04,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0
 60-70,1.28,0,0,0,0,0,6.19,0,0,7.32,0.89,0,0,0,0,1.33,0,410.82,0,16.66,0,0,0.6,42.18,0,3.61,0,0,2.61,0,0,0,2.13,0,0,0,0,0
 72-82,0,0,0,2.46,7.21,6.31,30.07,0,4.54,15.4,6.71,1.68,0,0.65,0,0,0,1385.82,0,34.2,0,1.14,0.73,135.23,0,0,0,0,6.72,0,0,0,7.58,0,0,4.48,0,2.88
 84-94,0,2.24,0,6.53,5.39,24.14,57.22,0,0,5.15,2.2,5.16,2.81,0,0,0,0,3601.44,0,33.22,0,0,4.8,178.18,0,0,0.58,0,7.18,0,0,0,10.58,0.55,0,7.55,0,10.49
 96-106,0,0,0,50.2,30.21,6.99,173.1,3.64,4.98,30.47,30.15,13.22,4.2,5.4,0,0,4.61,5031.13,0,148.91,0,0,1.42,521.56,4.15,7.7,6.02,1.32,18.37,0,0.57,2.12,0,4.06,0,15.98,0.97,3.23
108-118,0,0.98,2.3,24.18,17.42,2.86,155.89,3.39,6.95,36.09,36.71,8.19,0,3.75,2.83,4.62,1.69,11074.72,6.37,151.7,0,1.78,5.91,613.57,2.54,2.77,4.52,8.9,39.76,0,2.83,0.43,1.9,7.63,7.36,7.61,3.2,23.31
120,0,0,0,10.97,9.33,7.86,110.01,0,0,27.8,55.58,2.58,3.96,4.53,0,0,0,5613.16,0,117.02,5.62,0,3.49,540.81,1.33,0,0,0,10.05,0,0,5.98,0,0,0,3.55,0,0
