stage,epidermis,eye,hatching_gland,heart,immune,mesenchyme,mural_cell,neural,olfactory,vascular_smooth_muscle,vasculature
 10-12,0,0,8.04,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.02,0,0,0,0,0,0
 24-34,0,0,0,0,4.51,0,0,1.45,0,0,0
 36-46,0,0,0,1.2,12.68,0.9,0,0,0,0,0.75
 48-58,0,0,0,0,26.41,0,0,1.04,0,0,0
 60-70,0,0,0,0,9.74,0.91,0,0,0,0,0
 72-82,0,0,0,1.08,9.23,0,0,0,1.38,0,0.65
 84-94,3.76,2.73,0,0,28.9,0,0,0,0,1.05,4.34
 96-106,0,0,0,0,30.1,1.65,0,1.34,0,0,0.98
108-118,0,1.71,0,0,30.87,0,0,0,0,0,0
120,0,0,0,0,42.9,1.89,6.16,1.35,0,0,0
