stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,75.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.33,278.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.29,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.85,0,0,13.97,0,0,0,0,0,0,0,0,0,0,0,0,0,219.58,8.3,0,0,71.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.44,0,0,0,19.19,0,0,0,0,0,0,0,0,0,0,0,0,0,124.87,0,0,0,36.29,0,4.37,0,5.61,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,1.71,0,1.8,17.31,2.21,0,0,0,0,0,3.21,0,4.33,4.62,6.6,0,0,0,0,0
 24-34,0,0,0.62,2.32,1.89,6.97,0,0,0.74,0,0,0,0,0,0,0,4.65,0,9.01,66.51,0.62,0,0,0,0,0,0,0,1.01,0,15.48,0,0,0,0,0
 36-46,0,0,0,0,0,14.92,0,0,0,3.77,0,0.9,0,0,0,0,11.97,0,11.23,61.54,0,0,0,0,0,0,0,0,0,0,7.65,0,0,0.87,0,0
 48-58,0,0,0,0,0,36.75,0,0,0.93,2.67,0,0,0,0,0,6.93,17.1,5.61,3.97,85.26,0,1.13,0,0,0,0,0,0,0.68,0,15.93,0,0,0.63,0,0
 60-70,0,0,0,0,0,33.74,0.62,0,0,4.14,0,0,0,0,0,0,41.76,0.96,2.39,57.38,0,0,0,0,0,0,0,0,0,0,9.71,0,0.7,3.93,0,0
 72-82,0,0,0,3.47,0.92,73.09,0,0,1.81,14.49,0,0.9,0,0,0,3.64,24.12,1.12,3.77,121.06,0,0,0,0,0.71,0,0,0,0,0,12.4,0,0,4.97,0,0
 84-94,0,0,0,1.58,0,40.19,0,0.55,0.61,5.96,2.09,4.5,6.07,0,0,6.05,19.33,0,0,92.66,0,0,0.57,0,0.79,0,0,0,0,0,6.6,3.4,0,2.9,0.89,0
 96-106,0,0,0,0.75,0,22.41,0,0,0,21.37,0,0,2.08,0,0,0,28.45,0,2.11,28.09,0,0,0.64,0,1.36,0,0,0,0,0,0,0,1.15,0,1.12,0.6
108-118,0,0,0,0.63,0,9.52,0.88,0,0,14.39,0.86,1.04,0,0.42,2.6,1.33,42.09,5.57,3.08,62.83,0.81,0,1.16,0,0.91,0,0,0,0,0,0,0,0,2.57,0.74,14.08
120,0,0,0,1.08,0,11.31,0,0,0,1.77,0,0,4.94,0,0,4.02,37.59,0,0,35.3,0,0,0,0,0,0,0,0,0,0,1.57,0,0,6.17,7.28,0
