stage,axial,blastomeres,endoderm,erythrocytes,melanocytes,muscle,neural,notochord,periderm,spinal.cord
  3-4,0,161.88,0,0,0,0,0,0,0,0
  5-6,7.18,66.51,0,0,0,0,7.22,0,56.01,0
  7-9,0,0,14.5,0,0,0,36.6,0,3.78,0
 10-12,0,0,4.05,0,0,0,6.33,3.08,4.49,0
 14-21,0,0,0,1.99,0,0,0,0,2.56,0
 24-34,0,0,0,4.19,0,0.95,2.47,0,0.69,0
 36-46,0,0,0,1.05,0,0,1.25,0,0,0
 48-58,0,0,0,0,2.2,0,0,0,5.26,0
 60-70,0,0,0,0,0,0,1.16,0,0,2.4
 72-82,0,0,0,0,0,0,0,0,0.59,0
 84-94,0,0,0,3.24,0,0,0,0,0.85,0
 96-106,0,0,0,3.12,0,0,0,0,0,0
108-118,0,0,0,1.92,0,0,1.81,0,0,0
120,0,0,0,3.12,0,0,0,0,5.34,0
