stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,neural,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,18.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.84,1.96,0,0,0,0,0,0,0,0,0,0,0,0,6.84,0,0,1.54,1.04,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.62,0,0,3.19,0,0,0,0,0.93,0,0,0.77,0,0,0,0,0,8.49,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,1.48,0,0,0,7.74,0,25.83,0,0
 48-58,0,0,0,0,0,0,1.34,0,0.76,0.65,0,4.37,0,0,0,0,5.33,0,0.49,6.37,0,0,0,1.02,0,82.69,0,0
 60-70,0,0,0,0,0,0,2.87,0.94,1.75,0,0,0,0,0,0,0,7.92,0,2.9,7.64,0,0,0,0.84,0,178.32,0,0
 72-82,0,0,0,0,0.54,0,5.63,0,1.97,0,0,0,0,0,0,0,2.52,0,1.32,5.2,0,0,0,0,0,400.07,3.94,0
 84-94,0,0,0,0,0,0,23.71,0,0,0,0.64,0,0,1.52,1.55,0,10.4,0,0,1.18,0,0,0,1.42,3.8,419.13,2.44,0
 96-106,0,0,0,1.03,0,0,24.97,0,1.81,2.93,0,0,1.16,0,0,0,16.02,0,0,3.84,0,0,0,3.79,0,608.57,7.78,0.8
108-118,1.45,0,1.11,0,0.99,0,50.92,8.75,0,2.01,0,0,0.42,0,0,0,14.33,0.44,0,4.94,0.89,0.52,0.43,1.27,0,497.69,9.56,0
120,0,0,0,0,3.56,0,10.92,0,0,0,0,0,0,1.79,0,1.45,0,0,0,1.49,0,0,0,0,0,561.77,0,0
