stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,494.39,8759.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.1,0,0,0,0,0,0,0,0,0,0,0
  5-6,659.87,9437.58,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.15,7.03,0,0,62,0,138.99,0,0,0,0,0,0,0,0,0,0,0
  7-9,50.08,49.75,0,99.95,0,0,0,87.42,0,0,0,0,0,55.82,0,0,0,0,0,0,0,0,0,0,1324.52,37.35,0,0,368.28,0,6.94,32.64,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.41,0,0,0,0,0,0,0,0,0,83.4,0,0,0,0,0,0,0,0,0,0,206.01,26.32,0,0,54.47,0,3.07,5.47,0,0,0,0,5.32,0,0,0,0,0
 14-21,0,0,18.69,6.55,20.45,5.14,0,10.63,0,0,0,45.26,1.01,24.09,0,0.95,0.81,0,0,0,11.75,1.02,0,4.03,158.76,0.95,4.12,0,0,0,33.29,0.86,4.04,0,2.66,17.11,299.81,0,0,1.79,0,0
 24-34,0,0,17.49,2.68,8.63,5,0,11.23,0,3.77,0.68,54.51,0,3.69,2.73,3.98,1.43,0,0,0,7.84,9.94,0,6.57,372.33,1.7,14.77,1.16,0,0,62.66,0,0,6.43,1.32,1.32,787.55,0,0,15.64,0,2.56
 36-46,0,0,6.84,0,3.91,0,0,16.07,0,19.01,0.87,22.09,0,0,2.54,4.71,1.03,0,0,0,9.71,15.05,0,3.05,450.63,11.28,13.78,1.42,0,0,78.15,0,0,2.57,0,0,850.92,0,0,14.28,0,6.1
 48-58,0,0,4.53,0,9.63,0,0,31.78,0.7,13.3,1.51,27.3,0.7,0.57,1.01,1.13,6.79,0,0.68,0.7,8.45,11.32,0,2.15,221.5,3.02,3.92,2.16,0,0,29.21,0,0,6.11,0,0,429.58,0,0,3.48,0,5.64
 60-70,0,0,6.37,0,7.27,0,0,23.63,0.7,24.44,0.72,30.77,3.81,0,1.57,2.8,0,0,0,11.93,13.6,10.31,5.24,1.26,247.4,0,9.09,0,0,0,16.7,0,0,2.08,0,0,133.85,0.81,0,5.93,0,7.49
 72-82,0,0,22.95,0,13.57,3.39,3.09,43.31,0,21.52,2.41,22.15,25.41,0.49,5.58,5.05,0.83,0,0,0,15.59,13.57,0,4.61,294.52,0,1.21,0,0,0,17.53,0,0,0.64,0,0,65.12,9.22,1.03,8.51,0,4.88
 84-94,0,0,29.09,0,37.45,7.95,5.49,38.77,0,9.67,0.83,19.54,31.56,0.66,1.27,1.16,1.88,0,0,0,8.09,14.82,0,0,224.71,0,2.65,0,0,1.59,36.67,0,0,0,0,0,49.89,24.97,1.72,5.8,3.06,0.7
 96-106,0,0,17.08,0,12.82,1.27,1.76,56.38,0,12.17,0.75,21.77,32.23,0,5.13,1.99,0.79,0,2.87,7.63,16.96,49.07,0,0,185.32,0,13.13,1.63,0,2.36,16.92,0,0,0,0,0,18.7,23.01,2.43,19.74,4.24,0.8
108-118,0,0,9.51,0,26.07,0,11.66,47.38,0,12.75,8.65,11.89,51.32,0,0,3.11,0,0.83,0.89,5.16,16.58,32.92,0,0,170.54,0,5.88,0,0,0,16.76,0,0,3.02,0,0,22.83,19.39,2.24,4.84,0.5,2.56
120,0,0,33.03,0,23.56,0,1.91,35.96,0,4.98,0,4.41,46.61,0,0,0,6.11,0,0,0,13.51,18.14,0,1.66,419.68,0,10.27,5.02,0,0,13.76,0,0,0,0,0,69.82,7.52,0,1.48,0,0
