stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,14.56,416.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0
  5-6,6.56,338.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.48,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.62,0,9.59,0,0,0,11.35,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,91.64,0,0,0,19.23,0,7.58,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,0,0,0,0,0,0,0,5.9,0,0,0,0
 14-21,0,0,1.07,0.96,2.09,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,8.58,0,3.18,0.94,0,0,0,0.84,0,5.96,0,0,0
 24-34,0,0,0,0,3.66,1.55,0,0,0.85,0,0,0,0,0,2.07,0,0,0,1.38,0,0,0,38.54,0,60.8,0,0,2.15,0,0,13.67,15.75,0,0,0
 36-46,0,0,0,0,6.22,0,0,0.61,0,0,2.1,0,0,0,0,0,0,0,0.68,0,0,1.18,27.76,0,26.49,0,0,8.13,0,0,10.78,23.01,0,0,1.52
 48-58,0,0,0,0,0.41,0,0,7.54,3.35,0,0,0,0,0,0.37,0,0,0,1.45,0,0,0.44,39.17,0,19.58,0,0,12.28,0,0,11.34,5.83,0,0,0
 60-70,0,0,0,0,1.43,0,0,7.5,1.31,0,0,8.79,0,0,0,0,0,0,2.88,1.01,0,0,74.48,0,16.31,2.03,0,7.75,0,0,10.98,4.79,1.62,0,0
 72-82,0,0,0,0,0,4.35,0.76,9.39,1.14,0,2.71,40.47,0,0.63,0,0,0,5.92,0.49,0,0,0,39.36,0,5.45,2.16,0,8.18,0,0,12.24,7.97,0,0,0
 84-94,0,0,0.98,1.01,1.41,9.33,2.14,3.94,0,0,8.77,54.78,0,0,0,0,1.21,2.86,0,3.08,0,1.23,61.33,0,4.62,0.58,0,11.12,0,0,16.06,7.05,0,0,0
 96-106,0,0,2.33,1.03,0.66,21.37,2.48,25.61,0,0,1.32,93.14,0,0,0,3.56,0,0.62,4.59,0,1.49,0,59.02,0.62,20.08,1.52,0,4.31,0,0,16.9,4.65,1.22,0,0.9
108-118,0,0,5.18,0.49,5.24,2.55,3,14.18,0,0,5.64,86.17,0,0.69,0,0,0.66,1.87,3.51,0,0,0,47.61,0,22.36,1.92,0,3.16,0,0,11.03,3.57,2.01,0,0
120,0,0,0,1.66,1.45,0,1.09,15.23,0,2.45,4.07,106.98,0,0,0,0,0,3.42,7.51,3.25,0,0,77.13,0,12.79,0,0,0,0,0,8.87,0,0,4.33,0
