stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,444.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.25,0,0,0,0,0,0,0,0,0,0
  5-6,6.24,224.15,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99,0,0,0,10.03,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.33,9.07,0,0,0,0,0,4.22,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0,0,25.94,0,0,0,0,0,0,5.28,0,0,0,0,0,0,0,0,0
 10-12,0,10.25,0,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.24,0,0,0,56.92,0,0,4.8,0,48.7,0,0,0,0,0,0,0
 14-21,0,0,0.82,2.87,11.37,0,0,0,0,0,0,6.04,0,0,0,0,0,0,0,12.1,0,0,6.1,12.55,4.72,0,0,1.72,0,0,0,2.65,0,0,17.27,0,0,0,0,0
 24-34,0,0,0,4.55,1.28,0,0,0,0,0,0,3.76,0,0,0.69,0,0.78,0,0,7.86,0,0,0.71,188.97,0,0,7.21,0,0,0,0,0,0.82,0,77.44,0,0,1.36,0,0
 36-46,0,0,0,0,0,0,0,16.9,0,1.25,0,0.83,0,0,0,0,0,0,0,5.21,0,0,0,675.33,0,1.03,1.46,0,0,0.74,0,0,0,5.36,93.05,0,0,3.89,0,0
 48-58,0,0,0,0.43,2.73,0,0,95.71,0,0,31.16,0.67,0,0,3.62,0,0,0,2.19,8.72,1.4,0,0.43,1372.59,0,0.91,1.56,0,0,3.21,0,0,0,0,165.94,0,0.91,4.56,0,0
 60-70,0,0,0.57,0,6.35,2.92,0,506.29,0,1.58,68.18,0.63,0,11.84,0,0,0,3.3,0,11.56,0,0,0,2624.31,0,1.56,2.77,0,0,12.62,0,0,0,1.01,308.13,0,0,0,0,0
 72-82,0,0,2.85,0,6.71,0,0,856.74,0.81,0,61.57,3.35,0,0,0,2.18,0,4.82,0,54.39,0,0,6.27,2847.56,0,3.73,3.69,0,1.4,1.95,0,0,0.53,4.35,184.53,0,0,5.85,1.56,11.48
 84-94,0,0,1.85,0,13.93,10.81,0,699.66,0,2.83,61.53,3.38,0,0,0,4.69,0,0,0,37.75,0,1.5,4.61,1911.89,0,9.71,7.88,0,0,6.1,0,0,0,0.66,114.12,0,0,10.73,1.36,12.57
 96-106,0,0,0.91,0,14.28,12.91,1.05,784.61,0,0.96,36.19,0.98,0,0,0,2.49,3.26,20.95,2.25,39.17,3.31,13.21,3.3,1660.48,0.65,1.51,14.14,0,0,4.79,0,0,0,0.6,93.32,1.13,2.47,4.27,0,0
108-118,0,0,4.74,0,23.6,3.67,0,755.59,0,0,45.86,0,0,0.96,0.86,4.28,0.63,0.63,4.7,31.62,0,7.27,3.57,1854.67,0.46,2.22,27.18,0,0,2.62,0,0,0,0,53.7,0.68,0,7.82,0,0
120,0,0,20.99,0,45.92,4.9,13,648.29,0,12.74,103.41,0,0,0,0,1.43,2.13,0,0,35.55,0,0,12.44,3364.73,0,0,62.13,0,0,0,0,0,0,0,65.69,0,0,0,0,0
