stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,mesenchyme,muscle,neural,paraxial.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,15.87,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.01,0,3.61,0,0,0,0,12.27,7.79,0,0,0
 14-21,0,0,0,0,0,1.04,0,0,4.39,0,0,0,0
 24-34,0,0,0,1.32,0,0,2.27,0,5.19,0,3.74,0.63,0
 36-46,0,0,0,0,0,0,0,0,7.39,0,1.62,0,0
 48-58,0,0,0.61,0.82,0,1.23,0,0.44,6.52,0,1.42,0,0
 60-70,0,0,0,2.91,0,0,1.54,0,0,0,0,0,0
 72-82,0,0,0,1.83,0.84,3.85,1.46,0,0.95,0,0,0,1.31
 84-94,0,0,0,0.82,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,6.51,0,0,0,0
