stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,17.14,0,0,0,0,0,0,0,26.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41,0,0,0,0,0,0,0,0
 10-12,0,4.92,0,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0
 14-21,0,1.1,1.67,4.87,0,0,0,0,4.24,0,0.81,1.11,0,0,34.45,0,0,0,0.94,0.86,0,0,0,30.92,0,0,0,0,0,0,389.78
 24-34,0,0.6,5.38,11.34,0,0.61,0,0.7,1.81,0.8,0.77,4.94,0,0,46.21,1.76,0,10.77,76.77,0,2.07,0,0,10.81,1.5,0,2.4,18.18,0,0,1871.99
 36-46,0,0,0,7.6,0,0,0.95,0,0.72,0,0,3.68,0,0,0.7,2.54,0,2.4,76.41,0.64,0,1.34,0,2.2,0,1.96,0,16.54,0,0,2129.23
 48-58,0,0,0,17.99,0.7,0,0,10.75,0,1.28,1.01,24.67,0.37,0,14.28,10.83,0.44,0.41,87.02,0,1.04,0,0,5.5,0,0,0,9.25,0,0.48,2589.19
 60-70,0,0,0.74,8.06,0,1.18,0,3,0,0,0,0,0,0,0,12.67,1.3,0,20.95,0,0,0,0,1.16,0,0,0,2.49,0,0,2167.27
 72-82,0,0,3.01,18.18,0,0,1.1,3.69,0,0,0.66,0,0,0,3.79,1.81,1.76,0.83,42.63,0,0,0,0,0,0,0,0,3.91,0,0,1643.92
 84-94,0,0,0,51.03,0,0.86,0,0,0,0,0,31.74,0,0,0,11.58,2.55,0,19.57,0,0,0,0,0,0,0,0,0,3.4,0,1330.59
 96-106,0,0,2.54,40.65,0,0,0,3.74,1.06,4.84,0,7.41,0,0,0,12.33,0,2.02,15.83,0,0,0,0,1.83,0,0,0,5.01,1.23,0,1239.65
108-118,0,0,0,24.83,0,1.3,0.62,1.3,0,0,0,7.07,0,1.78,0,1.52,0,0,19.58,0,0,0.43,0,1.03,0,0,0,0,0,1.08,1123.69
120,0,0,0,20.3,4.22,0,0,0,0,0,0,1.91,0,0,0,0,0,0,3.23,7.79,8.47,0,0,0,0,0,0,0,0,0,392.02
