stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,48.04,12.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,65.63,36.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.46,36.64,235.82,0,0,5.79,0,0,0,0,0,133.51,0,0,0,0,0,0,0,0,0,470.95,4.16,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,272.76,1876.92,0,553.74,50.83,0,0,0,0,0,26.18,0,0,0,0,0,0,0,0,0,10996.04,16.22,0,0,302.29,9.29,13.12,0,10.66,0,5.3,0,0,0,0,0
 14-21,0,0,1.03,716.73,33.38,70.09,0,0.88,0,0.87,0,2.26,0,1.22,0,2.61,0,256.74,0,0,76.13,3995.84,6.57,0,1.17,1.67,1.94,0,2.54,0,0,0.98,313.73,0,0,0,0
 24-34,0,0,2.38,272.44,20.55,621.57,0,12.38,0,35.87,0,0.74,0,0,0,16.32,0,1061.08,0,0,32.99,3861.51,0.77,1.61,1.99,0,6.93,0,0,0,0.66,1.79,611.1,0,7.9,0,0
 36-46,0,0,0.71,128.77,6.72,1009.36,0,64.2,6.9,23.75,0,0,0,0,0,10.88,0,1040.74,2.5,0,46.83,1718.79,0,3.67,2.09,0,3.62,0,0,2.55,0,0,504.48,0,0,0,0
 48-58,0,0,0,86.05,2.09,758.09,0.48,108.98,5.52,59.2,0,6.43,0,0,0,23.21,1.77,834.33,2.13,1.42,9.28,630.67,1.29,0.47,3.89,0,12.35,0,0,0,0,0,425.5,0,0.51,0,1.43
 60-70,0,0,0,63.84,2.22,337.87,0,96.47,1.79,186.17,0,0,0,1.63,0,21.92,0,281.34,1.02,0,2.21,269.53,0,0,6.01,0,27.31,0,0,0,0,0,216.66,0,0,0,3.54
 72-82,0,0,0,67.25,15.95,109.3,0,66.54,6.06,320.06,0.51,0,0,0,0,14.56,0,90.74,1.8,2.79,0,63.88,0,5.12,0,0,32.07,0,0,0,0,0,68.04,0,0,0.56,0
 84-94,0,0,0,111.18,13.84,199.56,0,192.56,0,185.15,0.59,0.76,0,4.41,0,14.45,0,172.42,1.41,1.01,0,104.98,0,0,4.83,0,70.27,0,0,0,0,0,74.74,1.11,3.64,0,0
 96-106,0,0,0,250.23,47.27,167.05,0,279.5,0,195.26,0.75,0,0.74,7.99,0,31.07,8.31,107.16,5.25,1.26,1.01,63.06,0,9.68,0.72,0,244.72,0,0,0,0,0,49.38,0,0,2.3,0
108-118,0,0,0,240.52,6.83,72.49,0.76,360.1,0.65,313.57,0.82,0,0.72,8.17,1.4,13.19,0,91.64,4.76,0,1.62,66.93,0,3.04,1.29,0,86.8,0,0,0,0,0,2.41,1.08,0,0,0
120,0,0,0,300.79,0,91.1,0,245.25,0,181.49,6.71,0,0,5.66,0,24.14,0,79.84,8.9,0,0,54.01,0,0,0,0,88.62,0,0,0,0,0,44.32,0,0,0,0
