stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,51.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,144.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.71,0,0,0,4.46,0,0,0,0,0,0,0
 10-12,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.72,0,0,0,4.33,0,0,0,0,0,0,0
 14-21,0,0,0,0.85,2.34,0,5.42,0,0,0,0,0,1.23,0,0,0,1.46,0,0.91,0,0,1.64,26.49,0,0,0,0.86,0,2.23,6.66,2.11,2.23,0,0
 24-34,0,0,0,0.62,0.69,0,13.27,92.57,0,0,0,0,0.82,2.26,0,0,0,0,3.11,0,0,4.35,47.43,0.62,1.63,0,0,1.5,0,16.6,15.63,8.05,1.49,2.18
 36-46,0,0,0,15.98,0.57,0,14.13,267.15,0,0,1.67,0,0,1.52,0.77,0,0,0,5.83,0,0,5.09,51.03,0,0.6,0.67,0,2.32,0,15.43,1.23,13,1.71,0
 48-58,0,0,0,3.85,0.69,0,28.7,288.82,0,0.5,2.93,0,1.79,0,0,0,0.39,2.11,9.32,0.59,0,7.57,81.99,0,0.6,0.49,0,0,0,23.54,0,23.72,0.43,0
 60-70,0,0,0,0,0,0,42.29,141.83,0,4.25,7.59,0,0.78,0,0,0,0,0,27.42,0,0,5.55,104.18,0,0,0,0,3.86,0,7.09,0,17.23,0,0
 72-82,0,0,0,0,0,0,44.3,85.1,0,0.59,0,1.4,2.04,5.49,0,0,1.4,0,9.06,0,1.23,5.32,46.88,0,0,0,0,2.64,0,1.27,0,2.67,0,1.38
 84-94,0,0,0,0.57,2.86,0,20.7,190,0.58,0,11.82,1.58,2.57,0,1.17,0,0,0,27.03,0,0,21.1,72.26,0.65,0.7,0,0,1.27,0,11.16,0,6.54,0,0
 96-106,0,0,0,3.63,9.31,3.58,51.82,246,0,1.05,20.97,0.57,0.61,1.72,0,0.95,0,0,21.27,0,0,1.31,65.91,0,0,1.2,0,2.54,0,7.33,0,4,6.14,0
108-118,0,0,0,1.72,1.28,0,49.56,140.05,2.41,0,10.15,4.72,0,1.28,0.62,6.34,1.95,0,25.64,0,5.71,17.51,55,0.63,0,0,0,3.51,0,9.84,0,1.06,1.08,0
120,0,1.22,0,0,3.17,0,6.95,67.58,0,0,3.71,0,1.15,0,0,0,0,0,29.27,0,10.85,10.54,59.38,2.06,0,0,0,3.23,0,5.64,0,4.36,0,0
