stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
 14-21,0,0,1.75,0,0,0,0,0,0,2.51,0,0,0,0,0,0,0,0,0,0,0,7.01,0,0,0,0,1.52,2.09,0,0,4.02,4.91,1.17,0
 24-34,0,0.66,8.8,0,0,12.83,0,1.06,0,1.55,0,0,0,0,0,0,0.69,13.3,0.69,2.43,4.25,84.47,4.04,4.64,0,0,20.41,0,1.17,0,0,21.4,6.72,0
 36-46,0,0,16.12,0,0,25.85,0.59,6.01,0,0,0,0,1.63,0,0,0,3.05,10.69,0,0,3.53,85.34,6.05,1.84,0,0,59.67,0,0,2.58,0,6.16,1.59,0
 48-58,0,0,11.31,0,0,13.06,1.76,0,0,2.94,0,0,3.13,0,0,1.29,0,2.73,0,0,0.38,48.6,0,0,0.43,0,30.13,0,0,0,0,12.74,1.88,0
 60-70,0,0,4.78,0.59,0,28.76,1.66,9.96,0,0,0,7.5,0,3.44,0,0,0,0.63,0,0,0,40.07,2.55,0,2.77,0,49.53,0,0,0,0,6.78,0.73,4.42
 72-82,0,0.69,1.82,9.24,0,8.77,0,0,0.89,4.05,0,0,0.55,0,0,0,2.32,3.79,0,0,0,40.83,0,0,0.83,0,1.21,0,0,0,0,0,3.48,0.62
 84-94,0,0,1.91,8.55,0,5.03,0,0.91,0.75,0.74,0,0,0.56,0,0,0,0,9.79,0,0,0,33.7,0,0,0.92,0,13.48,0,0,0,0,0,6.1,0
 96-106,0,0,0,2.64,1.07,2.33,0,0,0,0,0.62,0,0,0,0,0,0,0.78,0,0,0,1.86,0,0,0.6,0,17.62,0,0.61,0,0,1.96,1.83,0
108-118,0,0,2.43,0.88,6.87,2.82,0,0.96,0,0,0,0,0,1.65,0,0,0,0,0,0,0,19.03,0,0,0,0,26.89,0,0.41,0,0,0,0,0.45
120,4.73,0,7.93,0,1.63,22.59,1.61,1.73,0,11.82,0,5.51,0,0,5.46,0,0,29.26,0,0,0,54.31,0,0,0,14.47,26.15,0,1.02,0,0,0,2.78,0
