stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature
  5-6,0,29.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,0,0
  7-9,4.22,12.75,0,0,0,0,4.3,0,0,0,0,0,0,0,34.53,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,8.37,0,0,0,0
 14-21,0,0,1.13,0.89,0,0,0.82,0,0,0,3.25,0,0,0,24.01,0,0,0,0,1.13,10.48,0
 24-34,0,0,0,0,0.68,0,5.94,1.37,0,0.68,0.61,0,0,0.76,45.68,0,0,0,2.07,0,12.13,0
 36-46,0,0,0,0,1.17,0,7.23,3.34,0,0,0.61,0,0.63,0,35.5,0,1.01,0,0.99,0,4.82,0
 48-58,0,0,0,0,0,0,19.4,9.35,0,0,4.54,0.41,0,0,14.31,0,0.52,0,0.49,0,2.26,0
 60-70,0,0,0,0,0,0,9.25,1.21,0.81,0,1.31,0,0,1.79,10,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.79,0,6.29,1.24,0,0,0.5,0,0,0,4.31,0,2.28,0,0,0,0,0
 84-94,0,0,0,0,0,0,7.21,0.66,0.56,0,0,0,2.66,0,16.31,0.71,0,0,0,0,0,0.67
 96-106,0,0,0,0,0.94,2.36,3.1,0,0,0.61,1.6,0,0,0,2.69,0,0,0,0,0,0,0.89
108-118,0,0,0.75,0,0,0.41,5.07,2.18,0.47,0,1.82,0,0,0,9.76,0,2.26,0,0,0,0,0
120,0,0,0,0,0,0,4.05,0,0,0,0,0,0,1.58,2.31,0,0,0,0,0,0,0
