stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,684.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.8,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.27,947.68,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.86,11.17,0,0,16.54,0,22.9,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.52,29.3,0,42.14,0,0,0,43.82,0,0,0,0,0,30.12,0,0,0,0,0,0,0,0,0,0,593.53,49.55,0,0,201.79,0,0,16.34,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.29,0,35.14,0,9.45,0,70.68,0,0,0,0,0,15.37,0,0,0,0,0,0,0,0,0,0,659.36,60.09,0,0,168.12,0,3.07,0,10.74,44.95,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,32.54,26.92,0,8.1,0,1.16,0,11.95,2.3,0,0,0,1.78,0,0,3.13,0,23.94,0,15.35,250.2,12.72,0,3,2.55,0,10.28,0,27.37,1.1,5.24,38.7,103.32,0,0,7.14,0,0
 24-34,0,0,0,0.7,12.41,2.14,0,45.6,0,1.46,3.91,12.3,2.21,0,0.98,0,2.64,0,2.18,1.3,0.66,35.53,0,22.4,618.55,0,15.36,4.69,0,0,16.99,0,0,2.51,0,9.74,125.78,0,0,17.31,0,1.44
 36-46,0,0,0.73,0,41.6,1.62,0,116.99,0.58,1.75,0.63,15.07,0,0,0,5.79,0.68,0.86,0.61,0.85,0,31.78,0,10.09,448.82,0,10.18,3.94,0,0,30.89,0,0,0.82,0,0,108.1,0,0,13.8,0,0.61
 48-58,0,0,0,0,9.23,1.66,0,233.59,0.96,1.37,5.22,60.87,0,4.3,0.55,5.34,0.44,4.13,0.75,4.55,1.95,44.9,3.24,5.91,501.61,0,5.49,1.1,0,0.47,17.5,0,0,0,0,0,127.75,0,0.61,2.27,0,2.99
 60-70,0,0,0,0,12.85,0.72,0,311,3.28,2.82,3.03,63.42,0,0,0.75,1.43,0,0,0,0,3.47,33.05,0,0.65,488.98,1.99,1.86,0.63,0,0,29.03,0,0,0,0,0,64.02,0,0,2.75,0,0
 72-82,0,0,1.11,0,14.95,20.16,0,343.37,0,1.28,9.75,67.09,0,0,0,1.2,0,1.19,3.9,0,3.59,81.93,1.07,6.43,463.13,0.5,12.58,4.91,0,0,3.17,0,0,6.78,0,0,63.99,0,2.71,15.34,5.57,5.26
 84-94,0,0,1.22,0,14.91,23.7,0,262.16,0,1.21,4.34,58.14,0.77,0.91,0,3,1.25,4.47,4.97,1.62,3.04,49.39,6.29,8.3,360.64,0,3.98,2.73,0,2.02,15.86,0,0,2.6,0,0,75.74,4.27,0,7.17,2.21,0
 96-106,0,0,2.11,0,19.01,15.59,0,312.65,0,7.5,2.69,104.44,2.26,0,0.8,8.49,1.43,5.84,2.84,0,1.39,60.78,3.47,8.49,377.6,0.57,7.81,9.96,0,0,23.39,0,0,0.7,0.62,0,24.82,6.29,3.47,12.53,0,11.98
108-118,0,0,0.71,0,21.52,40.89,4.11,293.25,1.14,4.53,5.61,63.92,3.98,0,0,7.51,3.19,8.54,1.1,1.71,8.95,90.95,1.36,16.4,483.37,0,8.53,6.47,0,2.69,24.19,0,0,0.76,0.97,0,34.08,2.83,0.53,8.63,0.72,5.21
120,0,0,0,1.28,31.74,29.22,0,232.23,0,5.57,6.87,100.31,10.06,0,1.61,8.76,1.65,0,5.29,1.1,0,75.64,0,14.77,648.2,0,29.96,7.87,0,0,11.59,0,0,1.97,0,0,27.62,2.06,0,9.42,0,0
