stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.89,157.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.73,0,0,0,0,0,0,0,0
  5-6,11.31,62.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.97,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.41,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,46.2,0,0,0,0,0,0,1.47,49.63,0,0,0,0,0
 24-34,0,0,0,0,0,0,5.75,0,0,0,15,0,0,0,0,0,0.78,0,1.29,2.89,0,0,1.04,375.68,0,17.54,0,0,1.28,0,7.14,157.74,0,0,3.24,0,0
 36-46,0,0,0,3.26,0,0,16.92,0,0,0,1.67,0,0,0,0,0,0,0,0,15.54,0,0,4.89,902.37,0,36.98,1.46,0,0,1.51,4.32,155.12,0,0,4.32,0,0
 48-58,0,0,0,2.22,0,0,115.03,0,0,0,22.75,0,0,0,0,0,0.88,0,0.59,17.15,0.7,0,6.54,1953,0,32.82,4.54,0,0,0,6.45,199.78,0,0,0.7,0,7.57
 60-70,0,0,0,5.32,0,0,343.11,0,0.65,0,26.17,0,5.1,5.26,0,0,0.73,0,0,22.09,1.01,6.92,4.56,3004.29,0,36.96,1.23,0,0.65,0,4.65,258.43,0,0,2.2,0,2.65
 72-82,0,0,0,6.31,0,0,439.97,0,0,6.14,37.53,1.27,0.66,0.68,0.89,0.57,1.22,0,3.49,49.14,0,5.64,2.09,3095.53,0.56,48.64,5.53,0,1.31,0,2,313.88,1.16,0,2.3,1.2,8.07
 84-94,0,0,1.46,5.48,8.42,0,409.22,0,0,0,32.08,0,1.1,0,1.03,0,1.82,0,0,31.67,0,5.93,9.19,2083.33,0,55.11,7.74,0,3.21,0,12.38,132.2,0,2.12,10.8,0,0
 96-106,0,0,0,19.32,1.79,0,352.71,0,0,1.65,35.98,0.87,0,0,0,0,6.29,2.19,0,35.16,0.76,0,2.24,1798.44,0,56.47,9.4,0,8.47,0,2.8,134.43,0,2.52,4.52,1.62,2.85
108-118,0,0,3.16,17.58,4.74,0,333.77,0.98,0,0.5,38.12,0,0,0,0,1.54,2.1,0,0,12.57,0,1.36,10.43,1695.28,1.51,69.14,22.82,1.49,3.49,0,4.63,73.5,1.34,3.38,15.84,0,1.98
120,0,0,0,26.4,0,14.01,382.78,3.5,5.99,0,56.37,0,0,2.88,0,1.01,4.92,0,3.58,10.93,0,16.89,2.62,2426.2,0,44.18,32.49,0,0,0,9.75,107.7,0,3.38,0,0,0
