stage,blastomeres,endoderm,epidermis,eye,glial,gut,immune,ionocyte,mesenchyme,neural,paraxial_mesoderm,periderm
  3-4,81.06,0,0,0,0,0,0,0,0,0,0,0
  5-6,97.15,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.75,0,0,0,0,0,0,0,18.35,3.68,3.78
 10-12,0,0,0,0,0,0,0,0,0,0,8.15,0
 14-21,0,0,1.01,0,0,0,0,0,0,1.89,0,4.59
 36-46,0,0,0,0,0,0,3.28,0,0,0.88,0,0
 48-58,0,0,0,0,0,0,0,0,0.4,0,0,0.49
 72-82,0,0,0,1.5,4.47,0,0,0,0.77,0,0,0
 84-94,0,0,0,0,9.6,2.27,0,1.02,0.97,0.91,0,1.06
 96-106,0,0,0,0,3.48,1.73,4.82,0,0,0,0,0
108-118,0,0,0,0,0,0,1.24,0,0.77,0,0,0
