stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,17.74,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.97,0,0,0,0,4.27,0,0,0,0,0,33.04,17.31,23.09,0,0,0,0,0,0,0
 14-21,0,0,4.09,0,0,0,0,0,0,0,0,3.76,0,0,12.7,0,0,0,0,0,4.08,0,0,0
 24-34,0,0,1.36,0,0,0,0,0,0,0,0,5.84,0,1.83,7.7,0,0,0,0,0,0.99,0,0,0
 36-46,0,0,0,0,0.84,1.39,0,0,0,0,0,2.13,0,0,22.83,0,0,0,0,0,5.16,0,1.06,0
 48-58,0,0,6.11,0,6.42,0,0,0,0,0,0,2.41,0,1.39,65.05,0,0,0,3.78,0,15.61,0,0,0
 60-70,0,0,1.16,0,29.13,0,0,14.52,0,0,0,6.18,0,1.38,95.06,0,0,0,0,0,25.43,0,1.04,0
 72-82,0,0,5.28,0,54.2,0,0.74,15.88,0,0,0,5.17,0.72,0,140.47,0,0,0,0.6,0,10.29,0.52,1.3,1.08
 84-94,0,0,5.18,0,32.8,0,2.01,16.36,0,0,0,1.03,0,0,97.59,0,0,0,8.54,0,12.73,0,1.96,0
 96-106,0,0,0.78,0,29.87,0,0.6,8.28,0,1.32,6.67,0,1.86,0,87.26,0,0,0,3.77,0,1.23,0.89,3.01,0
108-118,0,0,0,0,29.92,0.6,0,10.45,0,0,0,4.82,5.55,0,117.03,0,0,1.82,6.66,0.47,2.26,1.09,1.27,0
120,0,0,0,0,38.64,0,0,34.82,0,0,0,9.01,16.08,0,202.72,0,0,0,1.01,0,14.44,0,0,0
