stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,46.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,106.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.8,22.42,0,3.32,0,0,39.89,0,0,0,0,0,14.31,0,0,0,0,0,0,0,0,0,0,0,197.39,4.08,0,0,87.61,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.05,0,24.95,0,0,35.11,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,468.68,19.86,0,0,115.94,0,0,18.93,0,4.64,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,40.75,22.51,33.72,0,0,0,3.16,0,0,0,0,0,0,0,0,2.58,22.95,1.19,0,11.02,278.81,6.31,0,0.89,5.15,0,1.08,0,38.78,2.76,14.37,61.18,69.74,0,7.52,0,0
 24-34,0,0.83,0,1,9.8,21.33,45.77,0,0,0,2.93,0,0,0,5.79,0,0.89,0,0.65,2.2,26.03,1.84,0,22.38,381.24,0,1.49,0.64,0,0,2.63,0,0,0,1.19,10.65,71.29,0,17.78,0,0
 36-46,0,0,0,0,16.14,27.14,77.25,0,0,0.95,16.09,0,0,0,4.72,0,0.71,0.67,0.84,4.07,23.55,0,0.71,4.57,235.09,4.4,1.63,2.61,0,0,2.04,0,0,0,0,0,57.85,0,5.68,0,0.67
 48-58,0,0,0,0,3.69,39.67,61.33,0.88,0,2.07,15.81,0.69,0,1.5,0.43,0,0,0,0,0.5,37.17,0,0.5,5.53,141.93,1.59,0,0.41,0,0,0.96,0,0,0,1.46,0,20.53,0,1.81,0,0
 60-70,0,0,1.71,0,2.28,84.8,225.15,4.04,0,3.28,35.46,0.88,5.24,2.05,3.19,0,1.83,0,0,11.2,36.46,2.07,3.58,6.44,262.9,0.62,1.19,6.36,0,0,0.68,0,0,0.58,0,0,33.27,1.23,3.72,0,11.55
 72-82,0,0,0,0,2.68,31.01,35.84,0,0,0,21.02,3.21,0,0.58,1.92,1.33,0,0,0,0,19.78,1.13,0.96,2.45,46.66,0.98,1.3,0,0,0,0,0,0,0,0,0,1.84,0,1.49,0,0
 84-94,0,0,0,0,8.57,158.05,69.49,3.04,0,3.32,16.57,3.38,1.42,0,9.12,0,1.29,0,0,1.26,69.16,0,3,11.06,103.26,0.99,0.97,2.46,0,0,13.94,0,0,0,0,0,11.96,0,3.8,0,2.45
 96-106,0,0,1.11,0,3.75,75.04,18.24,0,0,0,23.86,0,0,0,7.42,0.82,0.75,1.85,2.67,0,19.71,0,0,5.41,18.99,0,0,0,0,0,4.53,0,0,1.4,0,0,3.24,0,7.66,0.64,0
108-118,0,0,0.79,0,11.81,81.55,25.78,0,4.36,2.55,30.33,1.54,0,0.43,9.52,2.11,3.27,0,2.46,0,48.4,1.76,2.99,11.44,88.67,0.44,0,2.9,0,2.96,3.19,0.42,0,0,0.93,0,0.43,2.44,11.13,0,3.87
120,0,0,0,0,10.98,57.08,8.81,0,0,0,4.35,2.8,0,0,4.17,0,0,0,0,0,37,0,0,2.23,91.38,3.42,0,11.64,0,2.03,6.75,0,0,0,0,0,0,0,0,5.18,3.6
