stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,216.86,3237.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.17,0,0,0,0,0,0,0,0,0
  5-6,27.55,1202.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.16,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0
  7-9,6.67,27.26,0,18.11,0,0,0,79.94,0,0,0,0,0,14.66,0,0,0,0,0,0,0,0,0,0,0,580.22,26.21,0,0,93.72,0,0,9.95,0,0,0,0,0,0,0,0
 10-12,0,25.54,0,65.12,0,6.14,0,56.48,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,697.38,15.02,0,0,181.36,0,0,0,0,12.45,0,7.76,0,0,0,0
 14-21,0,0,0,0.9,8.91,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94,0,0,6.43,88.76,0,0,1.09,14.95,0,1.67,0,3.78,1.97,9.67,21.88,0,0,0,0
 24-34,0,0,0,0.86,5.45,0,0,19.9,0.72,0,0,2.58,0,0,0,8.25,1.29,0.64,0.63,0,0,21.89,0,0,9.99,248.06,0.87,0,1.43,0,0,18.93,0,0,0.76,1.94,44.66,0,11.71,0,0
 36-46,0,0,0,0,0.65,0,0,63.73,1.33,0,0.58,16.54,0,0,0,9.04,0,0,0,0,0,29.8,0,0,3.78,327.41,0,2.89,1.56,7.09,0,33.04,0,0,0.59,0,74.22,0,5.02,0,0
 48-58,0,0,0,0,8.02,3.77,0,101.69,0,0.45,0.9,23,0,0,0.88,0,0.66,0,1.42,0,0.46,22.09,0.95,1.29,2.07,240.21,1.15,2.27,0.37,0,0,5.08,0,0,0,0,67.84,0,1.84,0,0
 60-70,0,0,0,0,0.78,0.89,0,175.74,0,9.28,0.6,40.28,1.82,4,1.29,0,0,0.6,1.02,0,0,39.03,0,6.44,2.53,336.48,0,0,0,0,0,3.51,0,0,0,0,39.54,0,4,0,0
 72-82,0,0,0,0,0.58,4.7,0,116.83,0,0.91,2.47,17.7,0,0,0.5,0,2.46,0.76,0,0,0,24.2,0.58,1.75,6.86,276.82,0,3.71,1.32,0,0.71,1.96,0,0,0,0,27.38,0,4.61,0,2.1
 84-94,0,0,0,0,3.15,1.61,1.39,76.46,0,1.99,0,16.01,0.76,0,0,0,0,0.74,0,7.24,7.84,32.21,0.71,0,26.19,227.84,0,1.55,0,0,0,8.71,0,0,0.74,0,21.6,0,5.53,1.09,2.1
 96-106,0,0,0.61,0,2.14,15.36,0,120.69,0,0,1.34,12.08,0,0,0,1.28,0.78,0,0.77,0,0,24.24,0.69,0,1.15,188.65,0,0,3.69,0,0,7.15,0,0,0,0,14.61,0,0,0,1.91
108-118,0,0,0.57,0.74,10.19,0.59,0,74,0,4.38,2.58,28.53,2.49,0,0.88,3.51,1.4,0.53,0,0,0.52,32.98,1,0.63,8.43,209.6,0,0.67,2.08,0,4.13,15.84,0,0,0.42,0,3.61,1.43,1.59,3.64,2.67
120,0,0,0,0,15.81,0,0,57.5,0,0,0,45.17,0,0,0,5.31,4.01,0,10.6,0,0,43.07,0,0,16.19,237.06,0,0,9.31,0,13.99,1.88,0,0,9.23,0,13.95,0,0,1.59,0
