stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,glial,gut,iridophores,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,27.46,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,98.35,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,12.49,3.91,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,14.47,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,18.55,0,0,0.88,0,0
 24-34,0,0,0,0,0,0,0,0,0,25.77,0,1.28,3.84,0,0
 36-46,0,0,0,0.72,1.38,0,0,0,0,8.53,0,0,11.99,0,0
 48-58,0,0,0,0,0,0.76,0,0,0,4.26,0,0,2.39,0,0
 60-70,0,0,0,0,0,0,0,0,11.88,4.77,0,0,1.12,0,0
 72-82,0,0,0,0,3.76,0,0,0,0.54,2.34,0,0,1.62,0,1.86
 84-94,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,2.06
 96-106,0,0,1.15,0,0,0,0,0,0,2.99,0,0,1.89,0,4.5
108-118,0,0,0,0,0,0,0.95,1.37,0.87,5.99,0,0,0,0.99,4.96
120,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0,0
