stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature
  5-6,8.67,64.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.5,0,3.43,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,50.94,0,0,0,37.54,0,0,0,0,0,0
 10-12,0,13.19,23.21,0,0,3.31,0,0,0,12.37,0,0,0,0,0,0,0,161.79,9.79,0,0,35.05,0,4.87,0,0,0,0
 14-21,0,0,0,4.15,0.86,2.86,0,12.6,0,0,0,0,0,3.23,0,0,0,50.17,0,0,6.82,2,0,0.9,1.16,34.56,0,0.86
 24-34,0,0,0.65,3.79,0,3.31,0,6.97,0,0,0,2.43,0,0.62,0,0,1.17,69.13,8.97,1.06,0.69,0,0,6.98,0.62,32,0,0
 36-46,0,0,0,0,0,2.99,0,10.2,0,0,0,0.74,0,3.52,0,0,0,63.63,0,3.91,0,0,1.4,3.42,0,34.64,0,0
 48-58,0,0,0,11.08,0,3.1,0,6.62,0,0.37,0,5.32,0,1.17,0,0,0.91,33.16,0,0.4,0,0,1,3.17,0,17.05,0,0
 60-70,0,0,0,0,0,13.7,0,22.37,0,0,0,0,0,3.03,1.53,0.98,0.6,28.63,0,4.58,0,0,0,0,0,14.59,0.61,0.64
 72-82,0,0,0,0,0,23.91,0,5.47,0,0,0,0,0.88,14.93,0,0,0.54,12.23,0,2.48,0,0,0,0.57,0,2.6,0,0
 84-94,0,0,0,0,0,57.35,0,1.72,0,0,0,0,0,0.85,0,0,0,24.21,0,1.33,2.06,0,0,0.9,0,1.03,0,1.56
 96-106,0,0,0,1.49,0.67,29.85,0,9.75,0,0,0,0,0,3.3,0,0,0,13.73,0,1.9,0,0,0,2.22,0,2.48,0,0.74
108-118,0,0,0,0.43,1.57,3.94,0.48,1.81,1.44,0,0,0,0,7.67,0.91,0,1.07,25.17,0,0.87,0.72,0,0,0,0,9.24,0.52,4.19
120,0,0,0,0,2.57,12.72,0,11.9,0,0,4.03,0,0,1.64,0,0,0,10.75,0,0,0,0,0,0,0,0,0,0
