stage,fast_muscle,immune,muscle,neural,pericytes,periderm,somites
  7-9,0,0,0,5.33,0,0,0
 10-12,0,0,0,5.03,0,0,0
 14-21,0,0,0,2.71,0,0.97,10.93
 24-34,0,0,0,0,0,0,1.47
 48-58,0,0,0,0.63,0,0,0
 60-70,1.1,0,4.33,0,8.44,0,0
 72-82,0,0,1.55,4.96,0,0,0
 84-94,0,0,0,0.93,0,0,0
 96-106,0,0,4.33,0,0,0,0
108-118,0,0,0.41,2.92,0,0,0
120,0,2.38,3.79,3.1,0,0,0
