stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,42.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.91,0,0,0,0,0,0,0,0
  5-6,55.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.56,0,3.88,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.88,0,12.99,0,0,0,0,0,0,0,0,0
 14-21,0,3.18,0,0.96,1.07,0,0,0,0,0,0,1.96,0,1.32,4.69,1.01,0,0,0.92,1.14,0.87,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,4.65,0,4.59,2.31,1.55,0,0,0,0,0,0,0,1.66,0,0
 36-46,0,0,0,0,4.86,0,1.71,0,0,0,0.61,6.48,0,0,6.52,0,0,0,0,0,0,0,0,1.79,0,5.07
 48-58,0,0,0,0,0,0,1.23,0,0.39,0,0,2.14,0,0,5.59,0,0,0,0,0,1.12,0,0,0.74,0,0
 60-70,0,0,0,0,12.58,0,0,0,0,0,0,5.01,0,0,1.3,0,0,0,0,0,2.83,0,0.63,0.83,0,0
 72-82,0,0,0,2.57,11.17,0,0,0.52,0,0,0,5.11,0,0,6.39,0,0,0,0,0,7.54,0,0,2.66,0.91,0
 84-94,0,0,0,6.46,34.09,0.88,0,0,0,0.57,0,3.58,3.19,0,7.8,0,0,0,0,0,1.45,0,0,0,0,0
 96-106,0,0,1.86,8.72,37.28,0,0,0.58,0,1.53,0,0,0,0,6.72,0,0,0,0,0,0,0,1.91,0,0,0
108-118,0,3.2,0,6.14,34.57,2.07,0,1.84,0.41,0,2.61,5.51,0,0,4.59,0.48,0,0,0,0,0,1.2,0,0,0,0
120,0,3.27,0,8.24,19.66,0,0,0,0,0,0,0,2.58,0,17.6,0,0,0,0,0,0,0,0,0,0,0
