stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,18.01,408.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,0,0,0,0,0,0,0
  5-6,16.98,652.92,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,9.88,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,13.75,0,9.06,0,0,0,0,13,0,0,0,0,0,0,0,161.58,8.03,0,61.06,0,0,0,0,0,0,0,0,0
 10-12,0,4.66,0,0,15.86,0,0,0,0,0,0,0,0,0,0,0,0,148.61,0,0,34.78,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,8.19,0.85,0,0,1.15,0,0,0,0,0,2.84,0,0,2.63,31.16,0,0,3.15,0,0,8.78,0,2.54,13.7,0,1.41,0
 24-34,0,0,0,2.3,14.26,0,0,0.92,0,0,0.9,0,0,8.17,0,0,4.52,85.81,0,0,0,0,2.36,0,0.91,0.68,22.64,0,4.48,0
 36-46,0,0,0,0,13.43,0,0,5,0,0,0,0.56,0,8.05,0,0.86,0.91,68.3,1.44,0.76,0,0,2.13,0,0,0,11.17,0,0.78,0
 48-58,0,0,0,0.5,10.6,0,0,5.54,0,0,0,0.44,0.87,17.29,0.95,0,0.94,45.88,0,2.15,0,0,0.38,0,0,0,10.74,0,1.88,0
 60-70,0,0,0,0,36.31,0,0,0,1.27,0,0,1.55,0,11.25,0,0,4.68,52.11,0,0,0,0,2.62,0,0,0,0,0,0,0
 72-82,0,0,0,0.78,9.54,0,0.51,6.81,0,0,0,0.66,0,13.6,0,0,2.06,17.18,0,0.76,0,0,3.41,0,0.75,0,6.23,0,0,0
 84-94,0,0,0,1.69,17.35,3.11,0,8.4,0.73,0,0,0.66,0,10.09,0,0.73,0,24.96,0,0,0,0,2.04,0,3.73,0,5.42,0,1.53,0
 96-106,0,0,0,0,2.27,0,0,0.62,1.5,0,0,0,0,7.06,0,2.13,0,15.09,0,0,0,0,3.05,0,0,0,0,0,0,0.64
108-118,0,0,0,0.85,1.91,0,0,1.47,0,0,0,0,0,11.22,0,0,1.2,20.39,0.83,0,0,1.49,0,0,0.52,0,0,1.01,7.81,0
120,0,0,0,1.12,0,0,0,9.16,0,0,0,0,0,10.91,0,0,0,38.63,0,0,0,0,7.41,0,0,0,0,2.06,0,0
