stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
 14-21,0,0,7.26,0.82,0,3.48,0,0,1.48,0,0,0,16.05,2,0,0,0,0.86,1.82,0,0,4.36,27.67,0,0,1.27,0.86,7.76,3.23,0,1.08,11.05,0,0
 24-34,0,2.67,2.38,0,0,3.3,3.7,0,0.75,0.91,0,1.37,94.62,0,0,0,7.68,0,10.46,0,0,22.22,93.22,0.67,0,0.79,0,7.66,0,0,0,15.43,0,7.5
 36-46,0,0,6.56,0,0,16.41,0,0,1.47,0,0.59,3.32,206.95,0,0,0,0,0,8.95,0,0,0.59,39.27,1.36,0,0,0,17.95,0,1.34,0,12.55,0,9.12
 48-58,0,0,0.41,1.77,0,12.68,0,2.67,3.23,0.56,0,5.59,326.35,0,0.41,0.86,0,0,7.25,0,0.44,1.54,70.76,0,12.22,0.44,0,0.39,0,0,0,23,0,26.24
 60-70,0,0,3.29,4.53,0,23.76,0,5.32,7.41,0,0,2.3,342.85,8.73,0,0,0,0,18.11,0,0.7,1.78,36.76,0,0,0,0,1.81,0,0,0,13.3,0,17.06
 72-82,0,0,6.02,5.64,0,18.8,0,7.28,4.78,1.01,0,5.46,445.12,0,0,1.47,0,0,37.01,0,1.73,0,53.16,0,1.3,2.99,0,0,0,0,0,1.36,0,18.68
 84-94,0,0,1.6,9.99,1.17,11.92,2.36,1.89,1.18,0,0,1.06,587.06,0,0.75,0,0,0,18.34,1.01,1.19,0.8,37.24,0,0,0.65,0,3.32,0,0,0,0,0,17.03
 96-106,1.15,0,6.01,26.11,0,16.08,1.25,1.08,6.31,0,0,11.49,860.77,0.77,0,1.75,0,0,53.77,2.03,8.04,1.6,40.72,0,0,1.73,0,6.39,0,0,0,0.67,0,33.93
108-118,0,0.49,1.41,16.65,0,12.66,1.22,0,14.2,1.97,0,1.67,697.66,1.1,4.74,0,0,0.76,17.22,0,0,0,40.61,0.6,0,0.69,0,6.24,0,0,0,0,1.34,35.76
120,0,0,7.55,65.52,0,19.95,12.64,0,12.7,4.41,0,0,694.41,0,0,0,0,0,13.34,0,0,1.46,57.76,0,0,1.02,0,1.32,0,0,0,0,12.35,19.93
