stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.11,108.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.52,10.16,0,3.5,0,0,23.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.7,8.59,0,0,44.53,0,0,8.66,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.69,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,100.39,0,0,0,30.86,0,0,0,0,5.71,0,0,0,0,0,0,0
 14-21,0,0,0,2.26,8.05,3.11,2.04,0,0,3.79,0,0,0,0,6,0,0,0,0.85,3.84,0,0,2.81,69.46,3.06,2.79,1.07,1.12,0,0,0,10.09,0,9.87,28.18,0,0,0,0,0
 24-34,0,0,0.71,2.03,3.46,0,5.89,0,0,3.8,1.08,0,0,0,0.72,0,0,0,1.64,14.47,0,0,9.85,290.21,0,2.47,1.9,0,0,0.61,0,0,0.75,6.43,66.79,0,0,2.9,0,0
 36-46,0,0,0.61,0,1.24,0,51.27,0,0.82,12.16,0.83,0,0,0,0,0.86,0,0,0,31.76,1.99,0,3.26,360.26,0.68,5.09,0.58,0,0,1.91,0,0,3.08,0,77.64,0,0,0,0,0.67
 48-58,0.39,0,0,0,5.22,2.22,94.1,0.42,1.54,21.79,0,0,0,7.07,0.37,0.63,2.07,0,5.94,26.06,1.99,0.5,7.39,352.04,0,2.16,1.05,0,0,4.71,0,0,0.53,0,75.53,0,0,0.96,0,0.44
 60-70,0,0,0,0,5.56,0,191.05,0,0.78,38.03,0,2.2,0,0,0,1.52,0.82,0,0,39.77,0.62,6.36,4.4,474.89,0.98,1.94,0.91,0,1.53,0,0,0,1.56,0,56.73,0,1.27,0.92,0,1.35
 72-82,0,0,0.53,0,0,1.13,143.03,0,1.69,16.48,0,0,0.58,0.55,0,0.58,0.71,1.61,0,33.41,0,0,4.08,253.87,0,1.47,0,0,0,0.65,0,0,0.73,0,48.4,0.82,1.72,3.33,0.5,6.76
 84-94,0,0,0,1.01,6.99,0.62,83.49,0,2.02,23.78,0.66,0,1.92,0,0,0,0,0,0,18.68,0,0,1.26,175.84,0.61,1.65,1.09,0,2.56,1.89,0,0,0,0,8,1.34,0,2.44,0,0
 96-106,0,0,0.9,0,2.4,0.63,67.1,0,0,11.95,2.52,0,0,1.05,0,2.68,0,0,0,33.67,0,0.92,2.57,152.19,0,4.03,0,0,3.48,11.21,0,0,0,0,1.89,0,0,5.21,0,1.21
108-118,0,0,0,0,4.61,1.36,62.89,0.52,0,34.73,0.58,0,0,2.23,0,4.36,0,0.97,1.39,31.63,0,3.83,3.1,166.75,0,0.57,3.13,0,0.92,0.94,0,0,1.06,0,1.12,0,0.9,5.74,1.02,0
120,0,0,0,0,9.46,0,48.65,1.83,2.83,25.05,0,0,0,0,0,6.89,0,0,0,20.75,13.87,5.51,0,157.43,0,0,10.98,0,0,2.87,0,0,0,0,0,0,0,0,0,0
