stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,0,152.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,182.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,0,0,0,0,0,0,0
  7-9,6.02,19.39,4.02,0,0,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.35,4.99,0,0,43.06,0,0,0,0,0,0,0,0
 10-12,0,31.2,12.07,0,0,32.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.22,0,0,0,53.18,0,0,0,0,0,0,0,0
 14-21,0,0,0.9,24.29,5.3,4.3,0,0,0,1.4,1.66,0,0.81,0,0,0,25.32,0,0,6.7,19.38,0,0,1.5,1.98,0,0,3.63,0,1.84,6.4,0,0
 24-34,0,0,0.67,17.08,0,6.1,0,0,0,2.56,0.69,0,0,0,0,0,38.86,0,0.89,17.95,39.86,0.6,0.94,2.2,0,0,1.47,0,0,0,7.17,0,0
 36-46,0,0,0,7.41,0,2.07,0,0,0,1.94,2.27,0,2.43,0,0.57,0,21.34,0,2.17,0.73,8.65,0,0,0,0,0,0.58,0,0,0,2.42,0,0
 48-58,0,0,0.44,15.68,0,19.22,0.46,2.79,4.52,8.55,9.39,0,0,1.9,1.01,0.7,78.17,2.17,8.43,6.25,50.75,2.42,0,2.24,0,2.9,0,0,0.37,0,3.29,1.22,1.44
 60-70,0,0,0,0,0,1.84,0,0,1.25,1.65,0,0,0,0,0,0,34.74,0,2.98,1.23,17.19,0,0,0.77,0,0,0,0,0.62,0,1.05,0,0
 72-82,0,0,0,0.54,0,4.18,0,2.19,0.65,0,0.51,0,0,0,0,0,16.97,0,1.21,2.46,22.58,0,0,0,0,0,0,0,0,0,0,0,1.13
 84-94,0,0,0,2.98,0,2.35,0,7.74,1.46,1.86,0,0,0.75,0,0,1.49,10.74,0,4.84,1.04,14.55,0.9,0,0,0,0,1.1,0,1.04,0,4.27,0,4.88
 96-106,0,0,0,3.5,0,0,0,0,0,0.6,0,0,0,0,0,0,7.76,0,0.85,0,9.74,0,0,0.79,0,0,0,0,0,0,0,1.11,2.96
108-118,0,0,0,3.67,0,8.97,0,6.18,2.49,2.96,0,0.54,1.24,0,0,0,14.18,0,0.49,1.33,6.31,0,0,1.94,0,0,0,0,0,0,3.42,0,0.61
120,0,0,0,8.92,0,5.72,0,18.3,0,1.12,1.54,4.64,1.67,0,0,0,13.82,0,0,13.31,32.76,0,0,1.5,0,0,0,0,0,0,0,0,16.23
