stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,0,720.29,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,53.24,446.81,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.62,0,0,24.28,0,0,0,153.59,7.63,24.84,0,0,0,0,0
 10-12,0,0,0,4.68,0,0,0,93.56,0,28.67,0,0,17.9,0,0
 14-21,0,0,1.41,0,0,1.19,0,3.03,0,0,0,0.86,0,0,0
 24-34,0,0,0,0,0,0.93,0,7.98,0,0,0,0,0,0.62,1.67
 36-46,0,0,0,0,1.09,0,0,1.73,0,0,0,0,0,0,0
 48-58,0,0,0,3.21,0.58,0,0,0,0,0,0,0,0,0.44,0
 60-70,0,0,0,0,2.58,0,1.22,1.94,0,0,0,0,0,0.94,0.73
 72-82,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0
120,0,0,0,0,0,2.98,0,2.91,0,0,0,0,0,0,0
