stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,512.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0
  5-6,6.98,460.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0,0,0
  7-9,6.13,0,5.08,0,0,7.68,0,0,0,0,8.95,0,0,0,0,0,0,0,0,0,133.71,19.34,0,19.74,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.72,0,0,42.85,0,0,0,0,0,0,0
 14-21,0,0,0,1.97,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.93,5.05,0,0,0,0,1.01,1.29,0,0,0,0
 24-34,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,8.2,0,0,0,0,0,0.72,0,0,0,0
 36-46,0,0,0,0,0,1.56,0,0.63,0.58,0,0,0,0,0,0,0,0.6,0,0,0,18.93,0.84,0,0,0,0,5.79,0,0,0,0
 48-58,0,0,0,0,0,2.7,0,0,1.04,0,0,0,0,0,0,0,3.15,0,0,0.7,27.89,0,0.71,0,0,0,2.31,0,0,0,0
 60-70,0,0,0,0,0,3.65,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,8.9,0,0,0,0.75,0,0,0,0,0,0
 72-82,0,0,0,1.25,2.99,19.07,0,0,3.26,0,0,0,1.18,0,0,0,6.24,0,0.55,0,63.39,0,0,0,4.71,0,3.34,0,0,0,0
 84-94,0,0,0,0,13.98,12.17,0,0,2.9,0,0,0,1.12,0.58,0,0.96,6.01,0,0,1.18,71.7,0,3.74,0,1.26,0,0,0,1.25,1.72,0
 96-106,0,0,0,0.85,8.21,5.42,0.66,0,8.5,0,0,0,1.61,0,0.77,0,7.19,0,0,1.79,11.54,0,2.73,0,17.53,0,0,0.82,0,2.17,0
108-118,0,0,0,5.32,4.51,19.09,0.62,0,9.41,2.99,0,0.74,2.01,0,0,0,38.9,2.13,4.93,0.9,21.51,0,0.54,0,20.14,0,8.05,0,0,2,1.26
120,0,0,0,1.06,2.74,3.45,0,0,1.62,0,0,0,0,0,0,0,2.13,0,0,0,12.6,4.62,0,0,21.89,0,8.64,0,0,0,0
