stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,neural,periderm,pronephros,spinal.cord,vasculature
  3-4,11.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,9.33,0,0,0,0
 14-21,0,0.93,0,0,0,0,0,0,13.27,0,0,0,2.5,0,0,0,0
 24-34,0,2.82,0,0,0,0,0,0,4.9,0,0,1.13,19.58,0,0,0,0
 36-46,0,1.18,0,0,0,0,0,0,13.77,0,0,0.79,3.81,0,0,0,2.13
 48-58,0,2.62,0,0,0,0,0.42,0,21.12,0,0.8,0.98,11.08,6.01,0,1.27,0
 60-70,0,2.19,0,0,0,0,0,6.09,10.27,1.55,1.18,1.23,7.58,3.66,3.48,0,0
 72-82,0,0,0,2.78,0,0,0,26.67,5.8,0,3.36,1.48,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,18.4,10.87,0,0,7.8,0,2.56,1.21,0,2.22
 96-106,0,1.31,0,1.88,0,1.57,0,43.17,7.82,0,0,4.17,4.32,1.02,0,0,0
108-118,0,0.66,0,0,0.54,0.57,0,33.9,3.91,0,0.67,0,1.5,2.33,0.59,0,0
120,0,0,5.9,0,0,2.88,0,33.09,1.94,0,0,0,0,0,0,0,0
