stage,epidermis,eye,fin_epithelia,glial,gut,heart,immune,mesenchyme,mucous,mural_cell,muscle,neural,periderm,pronephros,spinal_cord,vasculature,xanthophores
 14-21,1.16,0,0,0,0,0,0,0,0,0,0,2.34,4.55,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0.7,0,0,0.95,1.51,16.82,0,1.49,0,0
 36-46,0,0.56,0,0,0,0,0,0,0,1.06,0,0.97,41.19,0,0,0,0
 48-58,0.71,1.98,0,1.01,0,0,0,0,0,0,0,2.09,15.04,0,0,0,0
 60-70,0.97,0,0,1,0,0,0,0,0,0,0,0.92,8.71,1.95,0,0,0
 72-82,5.62,0,0,1.33,0,0,0,0.88,0,0,0,7.28,8.8,0,0,0.54,0
 84-94,0,0,0.62,0,0,0,0.57,0,0,0,0,1.4,16.38,0,0,0,0
 96-106,3.39,0.74,1.21,0,0.64,0,0.65,1.72,3.12,0,1.2,6.41,16.19,0,0,0,4.13
108-118,0.86,0,0,0,1.37,0,0,0,0,0,0,0,14.37,0,5.57,2.8,0
120,0,0,2.96,4.21,0,0,0,0,2.78,0,0,13.16,39.66,0,0,0,0
