stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.01,541.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.89,0,0,0,0,0,0,0,0,0
  5-6,13.11,698.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.75,8.7,0,0,10.04,20.86,0,0,0,0,0,0,0,0,0
  7-9,3.82,9.27,0,12.44,0,0,25.78,0,0,0,0,0,30.29,0,0,0,0,0,0,0,0,0,362.26,8.35,0,0,65.42,0,5.15,0,0,0,0,0,0,0,0
 10-12,0,10.36,0,35.93,0,0,27.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397.24,0,0,0,106.65,0,0,3.57,5.62,0,0,0,0,0,0
 14-21,0,0,0,1.49,3.63,0,4.06,0,0,0,0.92,0,0,0,0,0,0,0,0,1.85,0,2.09,76.21,1.29,0,1.02,0,2.03,0,8.96,0.85,5.8,25.73,0,1.09,0,0
 24-34,0,0,0,0,1.39,0,6.45,0,0.82,0,0.87,0,0,0,0,0,0,0,0.74,9.42,0,0.6,112.58,0,1.94,2.76,0,0,0,0,0,0,29.06,0,1.56,0,0
 36-46,0,0,0,0,3.37,0.6,24.25,0,0,0,1.93,0,0,0,0,0,0,0,0,11.56,0,2.77,136.19,0,0,0,0,11.3,0,0,0,0,19.52,0,0,0,1.16
 48-58,0,0,0,0,4.42,0,20.11,0,0.37,0.57,8.7,1.98,0,0,0.59,0,0,0,0,6.77,0,5.67,77.66,0,1.37,0,0,0.6,0,0,0,0,13.63,0,0,0,0
 60-70,0,0,0,0,0.72,0,18.28,0,0,8.38,2.79,0,0,0.6,0,0,0,0,0,12.07,1.73,0.59,64.87,0,0,0,0,0,0,0,0,0,5.99,1.93,1.15,0,0
 72-82,0,0,0,0,0,0,8.36,0,0,0,12.04,0.7,0,0,0,0,1.22,0.61,0,8.61,0,1.89,22.45,0,0,0.81,0,1.99,0,0,0,0,0,0,0.83,0,0
 84-94,0,0,1.43,0,0.68,0,3.63,0,0.67,0,4.33,0,0,0,0,1.18,0,0,0,13.89,0,0,14.97,0,0,1.05,0,10.08,0,0,0,0,3.96,0,5.46,0,0
 96-106,0,0,0,0,3.25,0,2.26,0.76,0,0,6.26,0,0,0,0,0,0,0,0,10.14,0,0,6.58,0,0,0,0,4.31,0,0,0,0,0.99,0,0,0.68,0
108-118,0,0,0,0,2.18,0,1.59,0,0,0,0,0,0,0,0,0,2.64,0,0,0.83,3.79,5.41,16.85,0,0.99,1.1,0,0,0,0,0,0,0,0,1.88,0,0
120,0,0,0,0,4.18,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,8.76,0,0,18.69,0,0,1.43,0,0,0,0,0,0,4.39,0,0,0,0
