stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,6.97,0,156.67,99.15,0,67.35,0,1,0,94.82,5.5,0,2.79,0.95,0,0,0.93,0,5.11,110.54,0,0,73.75,4768.94,32.94,48.59,16.03,78.64,0,1.08,5.37,38.18,1.75,57.71,209.87,1956.63,0,0,79.09,0,2.24
 24-34,0,18.34,0,70.54,19.68,0,230.13,0.67,2.41,3.45,318.17,2.68,0,16.74,9.44,3.57,13.4,2.72,7.19,23.29,400.35,0,3.95,150.74,14874.83,12.35,189.87,35.72,0,1.61,16.14,0,2.33,2.18,20.16,69.61,3601.49,0,0,402.58,0,27.17
 36-46,0,10.03,0.56,60.09,6.62,0,1515.26,7.28,0.64,14.15,1114.39,0,0,31.44,1.36,0,26.05,5.81,19.12,73.51,647.62,1.6,6.13,149.43,30278.31,8.27,226.93,65.59,0,4.76,10.53,0,0.9,4.02,10.25,3.21,6553.93,0,2.08,263.46,0.78,161.39
 48-58,1.74,4.11,0,100.76,8.71,0,4345.35,7.44,8.71,17.96,2561.28,3.76,4.77,41.52,11.5,0.55,18.39,4.45,3.02,53.77,767.06,0.98,37.9,192.09,32094.44,30.89,153.33,90.27,0,7.2,33.81,1.96,0,1.12,2.88,0,6751.93,0,8.54,214.55,0.9,178.79
 60-70,0,21.56,0,58.58,0,0,6229.71,44.86,13.85,24,3257.21,10.11,1.77,22.96,10.94,3.79,43.02,7.86,3.65,30.99,733.44,0.58,62.26,134.95,31541.03,13.11,102.7,56.7,0,12.78,32.2,0,0,1.7,3.61,0,4585.57,0,35.7,209.12,10.47,175.13
 72-82,0,38.72,0,159.51,34.87,3.14,4637.18,19.11,3.98,17.03,2857.78,25.03,0,16.13,11.69,0,82.2,5.2,35.99,19.4,949.23,11.87,56.71,108.91,19672.28,0.55,150.56,92.54,0,14.56,23.31,0.56,0,10.38,4.72,0,1771.69,7.12,44.93,268.92,56.18,131.72
 84-94,0,44.89,0,135.73,33.49,0,3660.46,17.73,10.52,23.76,2597.45,37.52,0,25.39,9.76,3.94,71.17,9.56,3.76,62.12,808.96,6.89,78.76,95.11,13339.04,7.71,176.92,116.61,0,23.93,27.91,0,0,14.21,1.31,0,1516.56,2.51,66.02,278.2,44.24,95.88
 96-106,0,26.83,0,129.78,53.96,0,2929.34,11.19,6.99,25.56,2191.76,29.54,0,31.51,21.66,3.31,77.13,4.3,16.58,48.34,729.27,5.85,68.74,59.58,9690.07,0.57,177.34,117.29,0,40.27,63.59,0,0,2.15,0.66,0,459.85,2.74,35.35,224.06,58.96,121.55
108-118,0,26.92,0,137.35,16.77,0.96,2207.14,7.08,14.59,6.28,2198.4,15.79,0,18.5,9.02,6.82,127.53,2.34,4.43,47.88,715.81,5.15,55.68,56,12177.56,3.66,114.09,117.25,0,56.68,13.08,0,0,1.23,1.83,0,486.63,7.63,13.92,217.93,47.69,76.2
120,2.37,31.84,0,169.2,8.64,13,2196.22,19.07,4.62,8.33,2435.42,20.32,0,43.71,11.86,17.45,49.8,7.52,5.29,2.84,609.62,4.4,82.45,49.05,15912.2,17.23,147.49,92.59,0,84.27,12.2,0,0,2.26,0,0,677.71,0,34.87,399.72,65.63,45.08
