stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,heart,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,presomitic_mesoderm,slow_muscle,somites,taste,vascular_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.61,0,0,0,0,0
 10-12,9.08,0,0,0,0,0,0,0,0,0,0,0,0,11.35,5.7,0,23.53,0,0,4.75,0,0
 14-21,0,3.87,0,0.87,0,0,0,1.1,0,0,1.95,0,6.85,18.35,0,0,0,6.8,41.59,114.75,0,0
 24-34,0.7,0.82,0,0,0,1.56,0,0,0,2.55,0.89,0,1.57,3.55,0,0,0,0,1.61,5.97,0,0
 36-46,0,0,0.76,0,0,0,0,0,0,0,8.24,0,3.59,2.4,0,1.82,0,0,0,0,0,0
 48-58,0,0.95,0,3.68,1.92,0,0,0,0,3.4,8.5,0,23.45,1.42,0,0,0,0,1.06,0,0,0.61
 60-70,0,0,0,0,0,2.43,0,0,0,0,24.16,10.43,9.21,23.25,0,0,0,0,1.9,0,0,2.59
 72-82,0,0,0,2.71,2.3,0.82,2.91,0,0,0,39.33,0.88,3.16,1.98,0,0,0,0,1.61,0,0,0.56
 84-94,0,0,0,11.54,3,0,1.95,0,0,0.68,16.51,0,4.99,5.44,0,0,0,0,0,0,0.86,3.35
 96-106,0,0,0,8.99,0,2.17,0,0,0.83,0.74,23.38,0,0.86,4.26,0,0,0,0,0,0,0,3.23
108-118,0,1.39,0.91,0,0,4.23,0,0,1.24,1.95,19.04,0.46,5.43,21.96,0,2.71,0,0,0.52,0,0,0
120,0,2.86,0,10.82,0,0,0,0,0,0,28.74,0,2.8,0,0,0,0,0,0,0,0,0
