stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,74.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,217.36,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,49.83,14.56,0,9.74,0,0,22.85,0,0,0,238.24,0,0,0,0,0,0,0,0,838.71,11.64,0,0,88.39,0,5.5,0,0,0,0,0,0,0,0
 10-12,0,8.6,0,31.55,0,4.44,4.11,0,0,0,91.77,0,0,0,0,0,0,0,0,197.43,0,0,0,119.26,0,0,26.08,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.99,7.52,3.79,0,0,0,0,0,0,0,0,0,8.44,0,1.92,56.48,0,0,0,0,0,0,0,0,2.68,15.68,0,0,0,0
 24-34,0,0,0,0,0,0,4.7,0,0,0.68,0,0,0,0,0,0,6.08,0,0.99,57.69,0,3.78,1.04,0,0,0,0,0,0,15.26,0,0,0,0
 36-46,0,0,0,0,0,0,3.97,0,0,2.49,0,0,0,0,0,0,1.7,0,0,34.53,0,2.37,0,0,0,0,0,0,0,1.56,0,0,0,0
 48-58,0,0,0,0,0,0,7.44,0,0,1.3,0,0,0,0.4,0,0,4.91,0,0.37,65.71,0.59,1.19,0.77,0,0,0,0,0.46,0,8.62,0,0,0,0
 60-70,0,0,0,0,0,0.57,20.74,0,0,7.73,0,0,0,0,0,0,19.11,0,0,239.55,0,0.84,0,0,0,0,0,0,0,9.83,0,0,0,0
 72-82,0,0,1.32,0,5.02,1.92,43.13,5.97,0.96,28.48,0,0.58,0,0,0.62,0,25.76,1.56,1.97,551.77,0,1.37,0.52,0,0.72,0,0,0,0,4.38,0,1.74,0.79,1.68
 84-94,0,0,0,0,1.23,0,43.13,0,0,14.77,0,0,0,0.62,0,0,22.56,0,2.52,268.87,0,3.11,0,0,0,0.59,0,0,0,7.2,3.4,0,0,0
 96-106,0,0,0,0,4.13,6.77,25.73,0,1.45,17.84,0,0,0.65,0,0.82,0.63,68.43,0,0.57,406.95,0,0,1.41,0,0,8.75,0,0,0,6.96,0,0,0,0
108-118,0,0,0.77,0,10.02,0,30.74,0,0.72,16.81,0,0,1.07,0,0,0,47.1,0,0,645.66,0,1.94,1.06,0,0,1.79,0,0,0,7.32,0,0,0,0
120,0,0,0,0,0,4.13,28.7,0,10.89,19.4,0,0,2.38,0,0,0,24.66,0,0,577.23,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0
