stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,35.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,52.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.36,3.8,0,0,0,10.76,0,0,0,0,0,7.03,0,0,0,0,0,0,0,0,877.54,0,0,0,166.71,0,3.78,0,0,0,0,0,0,0,0,0,0
 10-12,11.28,21.94,0,5.1,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105.16,10.22,0,0,273.74,0,5.07,3.03,0,51.36,0,0,0,0,0,0,0
 14-21,0,0,561.09,1.2,0,21.73,0,0.95,0,1.67,2.68,5.43,1.7,2.01,0,0,10.99,0.82,0,9.46,58.31,3.08,0,0.84,6.28,0,48.61,0,28.64,4.8,2.55,51,17.17,0,0,0,3.62
 24-34,0,0,324.63,0.87,0,20.78,0,15.24,7.89,3.17,0,0,1.13,1.4,1.23,0.76,49.92,9.03,0,13.16,132.76,6.29,0.75,0,0,0,33.48,0,0,1.89,0,7.42,41.16,0,2.64,0,6.8
 36-46,0,0,142.68,0,0,16.5,0.64,17.53,6.21,3.36,0.95,0,0.57,0,3.09,0,68.68,0.61,0,8.16,131.82,2.39,0.91,0.99,0,0,31.92,0,0,0,0.59,0,25.54,0,1.37,0,0
 48-58,0,0,69.91,0,0,15.69,0.77,7.7,34.47,1.39,0,0,0.59,0,4.7,0,48.35,0,0.95,3.96,144.97,1.9,0,0.59,0,0,19.03,0,0,0,0,0,20.83,0,0,0,0
 60-70,0,0,2.34,0,0,43.89,0.58,17.46,21.14,7.55,1.27,0,0,0,0,0,35.71,0,0.69,4.03,177.96,8.97,0,0.76,0,0,7.27,0,0,0,0,0,19.41,0.57,1,0,0
 72-82,0,0,7.5,2.28,0,38.73,0,4.29,29.9,4.1,0,0,0,0,4.9,0,43.66,0.56,1.57,5.27,150.3,0,0,0,0,0,5.37,0,0,0,0,0,13.74,0.93,0,1.42,0
 84-94,0,0,31.57,0.74,0,12.52,0,8.18,29.99,6.23,0,0,0,0,0.66,0,51.14,0,5.69,0,86.8,0,0,0,0,0,1.66,0,0,0,0,0,7.49,2.16,0,3.4,0
 96-106,0,0,5.28,10.55,0,21.73,0,0.62,15.48,3.03,0,0,1.86,0,1.22,0,23.29,0,1.03,1.63,56.85,2.2,0,0.65,0,1.54,0,0,0,0,0,0,0,0,0,0.69,0
108-118,0,0,16.38,0.57,1.08,36.6,0,4.8,7.49,11.52,0,0,0,0,2.08,0.43,33.46,0,0.49,1.16,76.87,0.5,0,0,0,0,0,0,0,0,0,0,1.1,0,4.18,1.95,0
120,0,0,1.65,0,0,8.83,0,1.49,25.56,4.24,0,0,0,0,0,0,27.32,0,11.12,0,144.77,0,0,0,0,0,1.57,0,0,0,0,0,18.03,2.93,0,4.52,0
