stage,eye,glial,mesenchyme,neural,somites,spinal_cord
 14-21,0,0,0,0,1.36,0
 24-34,0,0,0,4.01,0,1.92
 36-46,0,0,0,2.67,0,5.67
 48-58,0,1.32,0,7.45,0,0.74
 60-70,0.72,0,0,2.09,0,0
 84-94,4.52,0,0,2.18,0,2.02
108-118,0,0,3.67,0,0,0
120,0,0,5.24,0,0,0
