stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,19.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.58,23.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.07,0,3.58,0,0,0,21.91,0,0,0,0,0,0,0,0,0,0,0,0,0,39.45,0,0,0,20.21,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.34,0,0,0,0,3.81,0,0,3.11,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.56,0.83,0,2.78,0,0,0,0,0,0,0,0,0,1.69,0,0,1.27,33.24,0,0,0.93,0.97,0,0.98,2.82,0,0,2.23,24.18,0,0,0
 24-34,0,0,0,1.29,0,0,7.34,1.02,0,0,0,0,0,0,0,0,6.43,0,0,1.58,57.46,0,0,0,0,0,4.08,0,1.26,0,0.74,20.18,2.07,0,0.79
 36-46,0,0,0,2.16,0.81,0,9.54,0,0,0,0,0,0,0,0,0,4.47,0,0,2.49,47.29,0,0,0,0,0,0,0,0,0,0,18.67,0,0,0
 48-58,0,0,0,0.49,0,0,17.25,10.13,0,0,0,0,0,0,0,0,8.19,0,0,0.8,39.86,0,1.1,0,0,0,0,0,0,0,0,12.12,0.66,0,0
 60-70,0,0,0,5.86,0,0,17.86,5.83,0,0,0.66,0,0,0,0,0,5.83,0,0,2.29,30.03,0,0,0,0,0,0.6,0,2.9,0,0,7.41,0.87,0,0
 72-82,0,0,0,0,0,0.76,22.11,0.82,0,0,0,0,0,0,0,0,14.44,0,0.72,0.67,35.14,2.7,0,0.88,0,0,5.53,0,0.53,0,0,0,3.38,0,0
 84-94,0,0,0,1.11,0.68,0,8.22,4.66,0,0,0,0,0,0,0,0.95,6.8,0,0,0,22.58,3.42,1.79,3.3,0,0,1.11,0,0,0,0,4.59,0,0,0
 96-106,0,0,0,3.68,0,0,22.62,0.93,0.74,0,0,0,0,0.64,1.09,0,7.19,2.26,0,0,53.24,0,3.15,1.04,0,0.83,0.97,0,0,0,0,1.85,0,0,1.06
108-118,0,0,0,2,0.49,0.47,8.15,9.27,0.88,0,0,0.76,0.48,0,0,0,24.23,0,1.58,1.25,28.08,0,0,1.54,0,0,3.83,0,0,0.49,0,0,0,0,0
120,0,0,0,7.95,0,0,12.66,0,0,0,0,7.97,0,0,0,0,4.92,0,0,0,14.81,0,0,3.1,0,0,0,0,0,0,0,3.65,15.22,2.7,0
