stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,14.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,5.07,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.3,7.57,0,2.46,0,0,0,0,0,0,0,0,0,0,60.07,3.54,0,0,2.71,2.61,0,0,0,0,9.12,2.01,0,8.08,4.98,0,0,0,3.92,0,0
 24-34,0,0,0,27.42,0.63,0,0.69,0,0,0,0,0,0,1.83,0,0,0,27.47,6.47,6.21,0,1.39,16.98,0,0.71,0,0,43.02,0,0,0,1.35,4.38,0,0,2.83,0,0
 36-46,0,0,0,59.96,0,0,1.42,0,6.19,0,0,0,0,4.07,0.56,0,0,2.24,4.76,13.25,0,1.27,48.83,0.63,0,0,0,54.9,0,0.58,0,0,2.95,0,0,1.41,0,0
 48-58,0,0,0,45.13,0,0,7.11,0,11.96,0,0,3.83,0,10.19,9.76,0,0,4.93,8.34,9.42,0,0,48.06,0,0.49,0,0,33.76,0,0,0,0,1.96,0,0,0.84,0,0
 60-70,0,0,0,52.61,0,0,6.25,0,12.51,0,0.8,7.77,0,6.43,0.93,0,0,2.81,10.2,2.51,0,0,37.24,0,0,0,0,40.33,0,0.68,1.15,0,2.59,0.61,0,0,0,0
 72-82,0,1.62,0,48.51,0,0,15.34,0,16.16,1.17,3.98,22.83,1.02,15.51,7.99,2.49,0.91,11.51,24.94,25.73,0,2.18,76.29,0,0.75,0.56,0,42.73,0,1.58,0.58,0,5.04,2.11,0.89,2.15,0,0
 84-94,0,1.65,0,99.11,5.79,0,2.74,0.79,25.66,0,0.68,55.06,2.16,27.35,1.23,0,0,0,43.6,42.62,0,1.64,61.11,0,2.81,0,2.02,190.14,0,0,2.53,0,0,11.55,0,3.85,0,0
 96-106,0,0,1.03,109.08,7.92,0,24.14,0,11.4,12.72,17.51,111.66,1.32,17.54,2.93,0,3.55,11.11,46.2,31.89,0,1.31,122.39,0,5.8,0.74,0,125.82,0,0,0.6,0,9.97,2.58,0,0.56,2.28,2.41
108-118,0,1.34,0,133.8,2.53,1.93,18.97,0.45,22.06,9.48,6.07,151.44,0,27.23,5.32,0,4.78,4.18,52.09,32.78,0.63,0.57,82.74,0,2,4.89,0,125.18,0,3.56,7.68,0,3.61,2.32,2.34,5.24,0.55,0
120,0,0,1.28,81.49,0,0,34.11,0,7.17,0,4.72,125.75,0,32.58,7.55,0,2.85,19.08,8.84,11.88,0,1.2,220.88,0,1.48,1.47,0,72.34,0,12.03,0,0,0,14.92,0,1.46,0,0
