stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,288.29,7110.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.49,0,0,0,0,0,0,0,0,0,0,0
  5-6,372.21,6017.6,0,0,0,0,0,0,0,0,0,0,0,47.12,0,0,0,0,0,0,0,0,0,0,343.61,26.92,0,0,149.39,0,172.18,0,0,0,0,0,0,0,0,0,0,0
  7-9,30.29,12.16,0,73.52,0,0,0,71.9,0,0,0,0,0,44.05,0,0,0,0,0,0,0,0,0,0,1245.38,24.32,0,0,251.13,0,0,19.82,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.17,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,83.38,0,0,0,11.41,0,0,33.12,0,90.75,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.82,42,0,0.85,0,0,0,0,4.67,0,0,0,0,0,0,0,3.6,0,0,1.9,2.3,5.8,0,1.29,0,0,2.15,3.06,0,536.65,0,3.22,1.4,0,0,33.11,0,0
 24-34,0,0,0.66,0,23.73,28.75,0,7.55,0,0.81,0,0.8,26.6,0,13.98,26.05,1.26,18.75,0,5.54,78.48,0,0,52.35,36.91,0,0,0.63,0,0,0.67,0,0,462.91,0,1.47,7.91,0,0,603.03,0,0
 36-46,0,0,0.94,0,15.44,17.36,0,8.48,0,3.08,0.82,10.99,20.4,0,11.43,112.26,0,79.59,0,0,149.87,0.75,1.68,121.46,104.34,0.7,0,0,0,0,3.08,0.73,1.63,280.8,0,1.75,25.18,0,0,599.33,0,13.71
 48-58,0,2.59,1.77,0,24.53,24.55,0,15.21,0,0.8,12.29,2.2,32.19,0,75.57,152.95,0,132.24,0,10.99,309.9,0.74,10.75,99.01,84,2.22,0.89,0,0,0,1.57,0,0,151.43,0,0,14.17,0,1.76,762.94,1.13,2.32
 60-70,0,0,1.8,0,54.05,0.93,2.01,22.7,0,4.29,22.97,6.81,107.31,0,56.31,134.04,0,273.79,1.28,11.81,531.41,0,9.72,44.6,96.44,0,0,0,0,8.36,0,0,0,185.67,0,0,10.02,0,9.34,763.86,1.15,13.58
 72-82,0,0,29.27,0,31.56,6.69,50.03,115.65,0,4.33,32.1,24.79,323.29,0,135.07,179.4,0,310.56,1.7,17.61,1207.3,0,38.35,71.27,252.98,0,2.09,4.86,0,8.79,9.64,0,0,198.83,5.84,0,19.52,3.21,28.07,1561.51,16.2,18.55
 84-94,0,0,43.78,1.04,44.33,0.64,109.82,93.95,0,3.4,26.32,21.44,646.05,0,78.91,221.91,2.68,606.22,5.04,25.3,1153.27,0,85.52,61.97,169.01,0,2.19,3.38,0,31.61,19.36,0,0,602.67,1.36,0,22.29,7.07,46.06,1617.03,4.32,13.43
 96-106,0,0,65.42,1.08,81.32,73.87,63.64,213.7,7.3,14.86,51.01,60.37,720.48,0,236.15,410.73,4.43,553.35,11.25,20.42,1366.74,2.99,100.65,82.74,324.48,8.05,7.02,4.22,0,44.69,45.88,0,0,525.07,0,0,9.28,5.84,27.33,2407.52,22.66,3.81
108-118,3.46,0,26.48,0,67.79,28.15,69.99,101.46,0,5.93,35.46,39.54,580.63,0,104.98,353.3,3.93,854.43,16.49,8.3,1972.49,5.22,105.75,56.19,218.37,0,1.53,8.94,0,76.13,11.7,1.26,0,531.69,0,0,19.26,13.28,30.03,2409.41,16.68,30.12
120,0,0,31.33,0,31.79,38.01,30.81,62.42,0,5.33,8.35,62.96,273.69,0,132.92,508.03,0,684.19,6.55,21.74,1374.82,0,171.83,56.62,130.58,4.62,11.31,0,0,120.37,20.31,0,0,239.75,0,0,24.94,1.81,30.71,2517.93,3.6,0
